"","original.FBgn","updated.FBgn","Entrez.NCBI.gene.ID","Symbol","KEGG.ID","cluster","mt","Chromosome","Location"
"FBgn0052246","FBgn0052246","FBgn0052246","317936","CG32246","dme:Dmel_CG32246",1,0,"3L",4621218
"FBgn0052250","FBgn0052250","FBgn0052250","38532","PMP34","dme:Dmel_CG32250",0,0,"3L",4318754
"FBgn0052251","FBgn0052251","FBgn0052251","326205","Claspin","dme:Dmel_CG32251",0,0,"3L",4313482
"FBgn0052252","FBgn0052252","FBgn0052252","12798359","CR32252","dme:Dmel_CR32252",1,0,"3L",-4221703
"FBgn0052255","FBgn0052255","FBgn0052255","117477","Gr64f","dme:Dmel_CG32255",0,0,"3L",4035798
"FBgn0052259","FBgn0052259","FBgn0052259","317942","CG32259","dme:Dmel_CG32259",1,0,"3L",4069368
"FBgn0052262","FBgn0052262","FBgn0052262","38445","CG32262","dme:Dmel_CG32262",1,0,"3L",-3809145
"FBgn0052263","FBgn0052263","FBgn0052263","317944","CG32263","dme:Dmel_CG32263",1,0,"3L",-3810311
"FBgn0052264","FBgn0052264","FBgn0052264","38438","CG32264","dme:Dmel_CG32264",0,0,"3L",-3717216
"FBgn0052266","FBgn0052266","FBgn0052266","317945","CG32266","dme:Dmel_CG32266",0,0,"3L",3790803
"FBgn0052267","FBgn0052267","FBgn0052267","317946","CG32267","dme:Dmel_CG32267",0,0,"3L",-3471554
"FBgn0052278","FBgn0052278","FBgn0052278","38382","CG32278","dme:Dmel_CG32278",0,0,"3L",3169285
"FBgn0052279","FBgn0052279","FBgn0052279","38408","Drsl2","dme:Dmel_CG32279",0,0,"3L",3314348
"FBgn0052280","FBgn0052280","FBgn0052280","317952","CG32280","dme:Dmel_CG32280",5,0,"3L",3165180
"FBgn0052281","FBgn0052281","FBgn0052281","317953","CG32281","dme:Dmel_CG32281",0,0,"3L",3169374
"FBgn0052282","FBgn0052282","FBgn0052282","317954","Drsl4","dme:Dmel_CG32282",5,0,"3L",3315619
"FBgn0052284","FBgn0052284","FBgn0052284","317956","CG32284","dme:Dmel_CG32284",0,0,"3L",3186663
"FBgn0052296","FBgn0052296","FBgn0052296","38338","Mrtf","dme:Dmel_CG32296",0,0,"3L",-2719414
"FBgn0052299","FBgn0052299","FBgn0052299","317964","CG32299","dme:Dmel_CG32299",1,0,"3L",-2389582
"FBgn0052301","FBgn0052301","FBgn0052301","38285","CG32301","dme:Dmel_CG32301",1,0,"3L",2244477
"FBgn0052302","FBgn0052302","FBgn0052302","38293","CG32302","dme:Dmel_CG32302",0,0,"3L",2268824
"FBgn0052305","FBgn0052305","FBgn0052305","317967","CG32305","dme:Dmel_CG32305",1,0,"3L",2248634
"FBgn0052311","FBgn0052311","FBgn0052311","2769001","zormin","dme:Dmel_CG33484",3,0,"3L",-2122618
"FBgn0052313","FBgn0052313","FBgn0052313","317973","CG32313","dme:Dmel_CG32313",1,0,"3L",-1544827
"FBgn0052318","FBgn0052318","FBgn0052318","2768976","CG32318","dme:Dmel_CG32318",0,0,"3L",-1246072
"FBgn0052319","FBgn0052319","FBgn0052319","317976","Naa30B","dme:Dmel_CG32319",1,0,"3L",-1470849
"FBgn0052320","FBgn0052320","FBgn0052320","317977","CG32320","dme:Dmel_CG32320",1,0,"3L",1398585
"FBgn0052333","FBgn0052333","FBgn0052333","38142","CG32333","dme:Dmel_CG32333",0,0,"3L",1275955
"FBgn0052343","FBgn0052343","FBgn0052343","38055","Atac3","dme:Dmel_CG32343",0,0,"3L",-324984
"FBgn0052344","FBgn0052344","FBgn0052344","326208","CG32344","dme:Dmel_CG32344",0,0,"3L",-321232
"FBgn0052350","FBgn0052350","FBgn0052350","317987","Vps11","dme:Dmel_CG32350",5,0,"3L",-23147655
"FBgn0052351","FBgn0052351","FBgn0052351","326209","S-Lap2","dme:Dmel_CG32351",1,0,"3L",8619887
"FBgn0052354","FBgn0052354","FBgn0052354","50302","CG32354","dme:Dmel_CG32354",0,0,"3L",-8415856
"FBgn0052364","FBgn0052364","FBgn0052364","317996","tut","dme:Dmel_CG32364",0,0,"3L",-8209576
"FBgn0052365","FBgn0052365","FBgn0052365","38876","CG32365","dme:Dmel_CG32365",0,0,"3L",7869041
"FBgn0052368","FBgn0052368","FBgn0052368","317997","CG32368","dme:Dmel_CG32368",2,0,"3L",7915436
"FBgn0052369","FBgn0052369","FBgn0052369","38873","CG32369","dme:Dmel_CG32369",5,0,"3L",-7777851
"FBgn0052371","FBgn0052371","FBgn0052371","317999","CG32371","dme:Dmel_CG32371",1,0,"3L",-7767268
"FBgn0022246","FBgn0022246","FBgn0283652","44392","Rpp30","dme:Dmel_CG11606",0,0,"2L",-251038
"FBgn0052373","FBgn0052373","FBgn0052373","318000","CG32373","dme:Dmel_CG32373",0,0,"3L",7650547
"FBgn0052380","FBgn0052380","FBgn0052380","38823","SMSr","dme:Dmel_CG32380",1,0,"3L",-7374049
"FBgn0052382","FBgn0052382","FBgn0052382","38833","sphinx2","dme:Dmel_CG32382",4,0,"3L",-7439698
"FBgn0052383","FBgn0052383","FBgn0052383","318005","sphinx1","dme:Dmel_CG32383",4,0,"3L",-7438420
"FBgn0052392","FBgn0052392","FBgn0052392","38751","CG32392","dme:Dmel_CG32392",1,0,"3L",-6756628
"FBgn0052396","FBgn0052396","FBgn0052396","117406","CG32396","dme:Dmel_CG32396",1,0,"3L",6530728
"FBgn0052406","FBgn0052406","FBgn0052406","38677","PVRAP","dme:Dmel_CG32406",0,0,"3L",5997207
"FBgn0052407","FBgn0052407","FBgn0052407","38667","CG32407","dme:Dmel_CG32407",2,0,"3L",5922054
"FBgn0052409","FBgn0052409","FBgn0052409","318016","CG32409","dme:Dmel_CG32409",0,0,"3L",5899527
"FBgn0052412","FBgn0052412","FBgn0052412","38663","QC","dme:Dmel_CG32412",0,0,"3L",-5900834
"FBgn0052413","FBgn0052413","FBgn0052413","318018","CG32413","dme:Dmel_CG32413",0,0,"3L",-5902886
"FBgn0052418","FBgn0052418","FBgn0052418","326214","vito","dme:Dmel_CG32418",0,0,"3L",-5776323
"FBgn0052423","FBgn0052423","FBgn0052423","38605","shep","dme:Dmel_CG32423",5,0,"3L",-5160685
"FBgn0052425","FBgn0052425","FBgn0052425","40273","CG32425","dme:Dmel_CG32425",0,0,"3L",20497322
"FBgn0052428","FBgn0052428","FBgn0052428","50105","CG32428","dme:Dmel_CG32428",5,0,"3L",-20470667
"FBgn0052432","FBgn0052432","FBgn0052432","40310","CG32432","dme:Dmel_CG32432",0,0,"3L",-20844331
"FBgn0052436","FBgn0052436","FBgn0052436","40362","CG32436","dme:Dmel_CG32436",1,0,"3L",21344032
"FBgn0052437","FBgn0052437","FBgn0052437","40366","CG32437","dme:Dmel_CG32437",1,0,"3L",21357682
"FBgn0052438","FBgn0052438","FBgn0052438","326215","SMC5","dme:Dmel_CG32438",1,0,"3L",21569251
"FBgn0052440","FBgn0052440","FBgn0052440","318030","CG32440","dme:Dmel_CG32440",1,0,"3L",21360178
"FBgn0052441","FBgn0052441","FBgn0052441","40396","CG32441","dme:Dmel_CG32441",0,0,"3L",21574556
"FBgn0052442","FBgn0052442","FBgn0052442","318031","Arv1","dme:Dmel_CG32442",0,0,"3L",-21528217
"FBgn0052445","FBgn0052445","FBgn0052445","261603","CG32445","dme:Dmel_CG32445",1,0,"3L",21639358
"FBgn0052446","FBgn0052446","FBgn0052446","326216","Atox1","dme:Dmel_CG32446",0,0,"3L",21640994
"FBgn0052447","FBgn0052447","FBgn0052447","40412","CG32447","dme:Dmel_CG32447",5,0,"3L",-21691928
"FBgn0052448","FBgn0052448","FBgn0052448","318032","CG32448","dme:Dmel_CG32448",0,0,"3L",-21827773
"FBgn0052450","FBgn0052450","FBgn0052450","318034","CG32450","dme:Dmel_CG32450",1,0,"3L",22329777
"FBgn0052451","FBgn0052451","FBgn0052451","40495","SPoCk","dme:Dmel_CG32451",5,0,"3L",22749443
"FBgn0052452","FBgn0052452","FBgn0052452","318035","CG32452","dme:Dmel_CG32452",0,0,"3L",22717727
"FBgn0052457","FBgn0052457","FBgn0052457","318040","CG32457","dme:Dmel_CG32457",1,0,"3L",22987641
"FBgn0052459","FBgn0052459","FBgn0052459","40502","CG32459","dme:Dmel_CG32459",1,0,"3L",-22854582
"FBgn0052461","FBgn0052461","FBgn0052461","318042","CG32461","dme:Dmel_CG32461",1,0,"3L",-22954420
"FBgn0052462","FBgn0052462","FBgn0052462","318043","CG32462","dme:Dmel_CG32462",1,0,"3L",-22852269
"FBgn0052463","FBgn0052463","FBgn0052463","318044","Tengl2","dme:Dmel_CG32463",1,0,"2L",-2238303
"FBgn0052473","FBgn0052473","FBgn0052473","41636","CG32473","dme:Dmel_CG32473",0,0,"3R",13302647
"FBgn0052476","FBgn0052476","FBgn0052476","318046","mthl14","dme:Dmel_CG32476",3,0,"3L",247490
"FBgn0052479","FBgn0052479","FBgn0052479","38103","Usp10","dme:Dmel_CG32479",0,0,"3L",871898
"FBgn0052483","FBgn0052483","FBgn0052483","318050","CG32483","dme:Dmel_CG32483",0,0,"3L",-688522
"FBgn0052484","FBgn0052484","FBgn0052484","326219","Sk2","dme:Dmel_CG32484",0,0,"3L",3047086
"FBgn0052485","FBgn0052485","FBgn0052485","38363","CG32485","dme:Dmel_CG32485",0,0,"3L",3050322
"FBgn0052487","FBgn0052487","FBgn0052487","38358","CG32487","dme:Dmel_CG32487",1,0,"3L",-3016149
"FBgn0052488","FBgn0052488","FBgn0052488","326220","CG32488","dme:Dmel_CG32488",1,0,"3L",-3014965
"FBgn0052495","FBgn0052495","FBgn0052495","318053","CG32495","dme:Dmel_CG32495",2,0,"X",17889546
"FBgn0052496","FBgn0052496","FBgn0052496","8673958","CR32496","",0,0,"0",NA
"FBgn0052499","FBgn0052499","FBgn0052499","33144","Cda4","dme:Dmel_CG32499",0,0,"X",-22583633
"FBgn0020766","FBgn0020766","FBgn0275436","36547","PheRS-m","dme:Dmel_CG13348",5,0,"2R",13968307
"FBgn0052506","FBgn0052506","FBgn0052506","318059","CG32506","dme:Dmel_CG32506",2,0,"X",20449330
"FBgn0052507","FBgn0052507","FBgn0052507","318060","CG32507","dme:Dmel_CG32507",1,0,"X",-20780149
"FBgn0052511","FBgn0052511","FBgn0052511","12798210","CR32511","",0,0,"0",NA
"FBgn0052512","FBgn0052512","FBgn0052512","33085","CG32512","dme:Dmel_CG32512",3,0,"X",-21062383
"FBgn0052521","FBgn0052521","FBgn0052521","33098","CG32521","dme:Dmel_CG32521",5,0,"X",-21207674
"FBgn0052528","FBgn0052528","FBgn0052528","32990","parvin","dme:Dmel_CG32528",0,0,"X",19746079
"FBgn0052529","FBgn0052529","FBgn0052529","33000","Hers","dme:Dmel_CG32529",3,0,"X",19866145
"FBgn0052533","FBgn0052533","FBgn0052533","32933","CG32533","dme:Dmel_CG32533",0,0,"X",-19474155
"FBgn0052536","FBgn0052536","FBgn0052536","32922","CG32536","dme:Dmel_CG32536",0,0,"X",-19275003
"FBgn0052537","FBgn0052537","FBgn0052537","318079","CG32537","dme:Dmel_CG32537",0,0,"X",-19273348
"FBgn0052544","FBgn0052544","FBgn0052544","318082","CG32544","dme:Dmel_CG32544",0,0,"X",18860283
"FBgn0052547","FBgn0052547","FBgn0052547","3346150","CG32547","dme:Dmel_CG32547",0,0,"X",-18443811
"FBgn0052548","FBgn0052548","FBgn0052548","32826","CG32548","dme:Dmel_CG32548",1,0,"X",-18435718
"FBgn0052549","FBgn0052549","FBgn0052549","32822","CG32549","dme:Dmel_CG32549",5,0,"X",-18390497
"FBgn0052554","FBgn0052554","FBgn0052554","32767","CG32554","dme:Dmel_CG32554",0,0,"X",-17851868
"FBgn0052557","FBgn0052557","FBgn0052557","326221","CG32557","dme:Dmel_CG32557",0,0,"X",-17852957
"FBgn0052564","FBgn0052564","FBgn0052564","326222","CG32564","dme:Dmel_CG32564",0,0,"X",17206406
"FBgn0052568","FBgn0052568","FBgn0052568","32659","CG32568","dme:Dmel_CG32568",1,0,"X",16740905
"FBgn0052572","FBgn0052572","FBgn0052572","32657","CG32572","dme:Dmel_CG32572",1,0,"X",16721182
"FBgn0052574","FBgn0052574","FBgn0052574","326223","Twdlalpha","dme:Dmel_CG32574",1,0,"X",16742846
"FBgn0052576","FBgn0052576","FBgn0052576","318095","CG32576","dme:Dmel_CG32576",5,0,"X",-16285952
"FBgn0052579","FBgn0052579","FBgn0052579","318096","CG32579","dme:Dmel_CG32579",0,0,"X",16323285
"FBgn0052580","FBgn0052580","FBgn0052580","318097","Muc14A","dme:Dmel_CG32580",0,0,"X",16009113
"FBgn0052581","FBgn0052581","FBgn0052581","318098","CG32581","dme:Dmel_CG32581",5,0,"X",-15796907
"FBgn0052582","FBgn0052582","FBgn0052582","26067084","CR32582","dme:Dmel_CR32582",1,0,"X",15835600
"FBgn0052588","FBgn0052588","FBgn0052588","318101","CG32588","dme:Dmel_CG32588",1,0,"X",-15205806
"FBgn0052590","FBgn0052590","FBgn0052590","318103","CG32590","dme:Dmel_CG32590",0,0,"X",-14838351
"FBgn0052591","FBgn0052591","FBgn0052591","318104","CG32591","dme:Dmel_CG32591",1,0,"X",-14927445
"FBgn0052594","FBgn0052594","FBgn0052594","32430","be","dme:Dmel_CG32594",5,0,"X",15024435
"FBgn0052598","FBgn0052598","FBgn0052598","318107","betaNACtes6","dme:Dmel_CG32598",1,0,"X",-14316129
"FBgn0052600","FBgn0052600","FBgn0052600","32387","dpr8","dme:Dmel_CG32600",0,0,"X",14322225
"FBgn0052601","FBgn0052601","FBgn0052601","326224","betaNACtes3","dme:Dmel_CG32601",1,0,"X",14378805
"FBgn0052602","FBgn0052602","FBgn0052602","32384","Muc12Ea","dme:Dmel_CG32602",1,0,"X",14277734
"FBgn0052603","FBgn0052603","FBgn0052603","318109","CG32603","dme:Dmel_CG32603",0,0,"X",14184560
"FBgn0052625","FBgn0052625","FBgn0052625","318128","CG32625","dme:Dmel_CG32625",1,0,"X",-13756163
"FBgn0052626","FBgn0052626","FBgn0052626","32352","AMPdeam","dme:Dmel_CG32626",3,0,"X",-13830748
"FBgn0052633","FBgn0052633","FBgn0052633","326225","CG32633","dme:Dmel_CG32633",2,0,"X",13561670
"FBgn0052636","FBgn0052636","FBgn0052636","26067085","CR32636","dme:Dmel_CR32636",0,0,"X",13332373
"FBgn0052638","FBgn0052638","FBgn0052638","318133","CG32638","dme:Dmel_CG32638",0,0,"X",-13122875
"FBgn0052639","FBgn0052639","FBgn0052639","318134","CG32639","dme:Dmel_CG32639",1,0,"X",-13235924
"FBgn0052640","FBgn0052640","FBgn0052640","318135","CG32640","dme:Dmel_CG32640",0,0,"X",13178004
"FBgn0052641","FBgn0052641","FBgn0052641","318136","CG32641","dme:Dmel_CG32641",0,0,"X",13184477
"FBgn0052643","FBgn0052643","FBgn0052643","318138","CG32643","dme:Dmel_CG32643",1,0,"X",12984523
"FBgn0052645","FBgn0052645","FBgn0052645","32264","CG32645","dme:Dmel_CG32645",0,0,"X",13139198
"FBgn0052647","FBgn0052647","FBgn0052647","326226","CG32647","dme:Dmel_CG32647",2,0,"X",-12775495
"FBgn0052649","FBgn0052649","FBgn0052649","32239","CG32649","dme:Dmel_CG32649",5,0,"X",-12898767
"FBgn0052650","FBgn0052650","FBgn0052650","326227","CG32650","dme:Dmel_CG32650",1,0,"X",-12897502
"FBgn0052651","FBgn0052651","FBgn0052651","318140","CG32651","dme:Dmel_CG32651",1,0,"X",-12404615
"FBgn0052652","FBgn0052652","FBgn0052652","26067086","CR32652","dme:Dmel_CR32652",1,0,"X",-12411017
"FBgn0052654","FBgn0052654","FBgn0052654","32209","Sec16","dme:Dmel_CG32654",5,0,"X",12596675
"FBgn0052655","FBgn0052655","FBgn0052655","318143","CG32655","dme:Dmel_CG32655",1,0,"X",-12234561
"FBgn0052656","FBgn0052656","FBgn0052656","32174","Muc11A","dme:Dmel_CG32656",0,0,"X",12059794
"FBgn0052657","FBgn0052657","FBgn0052657","3772397","CR32657","dme:Dmel_CR32657",1,0,"X",12087210
"FBgn0052666","FBgn0052666","FBgn0052666","32097","Drak","dme:Dmel_CG32666",5,0,"X",11493818
"FBgn0052667","FBgn0052667","FBgn0052667","318146","ssp7","dme:Dmel_CG32667",0,0,"X",-11139761
"FBgn0052668","FBgn0052668","FBgn0052668","318147","CG32668","dme:Dmel_CG32668",0,0,"X",-11156675
"FBgn0052669","FBgn0052669","FBgn0052669","326229","CG32669","dme:Dmel_CG32669",5,0,"X",-10842696
"FBgn0052670","FBgn0052670","FBgn0052670","32029","Rab9Fb","dme:Dmel_CG32670",1,0,"X",-10951608
"FBgn0052671","FBgn0052671","FBgn0052671","326230","Rab9Fa","dme:Dmel_CG32671",1,0,"X",-10950159
"FBgn0052672","FBgn0052672","FBgn0052672","32001","Atg8a","dme:Dmel_CG32672",5,0,"X",-10764877
"FBgn0052673","FBgn0052673","FBgn0052673","318148","Rab9E","dme:Dmel_CG32673",1,0,"X",-10660954
"FBgn0052675","FBgn0052675","FBgn0052675","326232","Tango5","dme:Dmel_CG32675",5,0,"X",-10760047
"FBgn0052676","FBgn0052676","FBgn0052676","32005","stx","dme:Dmel_CG32676",0,0,"X",-10713114
"FBgn0052677","FBgn0052677","FBgn0052677","31997","X11Lbeta","dme:Dmel_CG32677",0,0,"X",10629316
"FBgn0052681","FBgn0052681","FBgn0052681","318151","CG32681","dme:Dmel_CG32681",4,0,"X",-10376650
"FBgn0052683","FBgn0052683","FBgn0052683","31970","CG32683","dme:Dmel_CG32683",0,0,"X",-10410390
"FBgn0052685","FBgn0052685","FBgn0052685","31942","ZAP3","dme:Dmel_CG32685",5,0,"X",-10071857
"FBgn0052686","FBgn0052686","FBgn0052686","318153","CG32686","dme:Dmel_CG32686",1,0,"X",-10371716
"FBgn0052687","FBgn0052687","FBgn0052687","31980","CG32687","dme:Dmel_CG32687",5,0,"X",-10482027
"FBgn0052690","FBgn0052690","FBgn0052690","10178944","CR32690","dme:Dmel_CR32690",1,0,"X",10204399
"FBgn0052694","FBgn0052694","FBgn0052694","31933","CG32694","dme:Dmel_CG32694",5,0,"X",9989694
"FBgn0052695","FBgn0052695","FBgn0052695","31918","CG32695","dme:Dmel_CG32695",0,0,"X",-9873541
"FBgn0052698","FBgn0052698","FBgn0052698","31915","CG32698","dme:Dmel_CG32698",5,0,"X",9788465
"FBgn0052699","FBgn0052699","FBgn0052699","31899","LPCAT","dme:Dmel_CG32699",3,0,"X",-9571536
"FBgn0052702","FBgn0052702","FBgn0052702","326235","Cubn","dme:Dmel_CG32702",3,0,"X",-9558664
"FBgn0052703","FBgn0052703","FBgn0052703","31877","Erk7","dme:Dmel_CG32703",1,0,"X",-9261375
"FBgn0052706","FBgn0052706","FBgn0052706","318160","CG32706","dme:Dmel_CG32706",1,0,"X",9087128
"FBgn0052707","FBgn0052707","FBgn0052707","31835","APC4","dme:Dmel_CG32707",0,0,"X",9082936
"FBgn0052708","FBgn0052708","FBgn0052708","318161","CG32708","dme:Dmel_CG32708",0,0,"X",9085931
"FBgn0052712","FBgn0052712","FBgn0052712","318165","CG32712","dme:Dmel_CG32712",0,0,"X",-8433086
"FBgn0052713","FBgn0052713","FBgn0052713","318166","CG32713","dme:Dmel_CG32713",1,0,"X",-8456928
"FBgn0052718","FBgn0052718","FBgn0052718","318168","CG32718","dme:Dmel_CG32718",1,0,"X",7778204
"FBgn0052719","FBgn0052719","FBgn0052719","318169","CG32719","dme:Dmel_CG32719",1,0,"X",-7508650
"FBgn0052720","FBgn0052720","FBgn0052720","318170","CG32720","dme:Dmel_CG32720",1,0,"X",-7535624
"FBgn0052732","FBgn0052732","FBgn0052732","31638","CG32732","dme:Dmel_CG32732",0,0,"X",-6958031
"FBgn0052733","FBgn0052733","FBgn0052733","12797943","CR32733","",0,0,"0",NA
"FBgn0052745","FBgn0052745","FBgn0052745","5740857","CR32745","",0,0,"0",NA
"FBgn0052750","FBgn0052750","FBgn0052750","326238","CG32750","dme:Dmel_CG32750",3,0,"X",-6194736
"FBgn0052751","FBgn0052751","FBgn0052751","318189","CG32751","dme:Dmel_CG32751",0,0,"X",-6196710
"FBgn0052755","FBgn0052755","FBgn0052755","318192","CG32755","dme:Dmel_CG32755",1,0,"X",5950250
"FBgn0052756","FBgn0052756","FBgn0052756","318193","CG32756","dme:Dmel_CG32756",0,0,"X",5945681
"FBgn0052758","FBgn0052758","FBgn0052758","31493","CG32758","dme:Dmel_CG32758",5,0,"X",-5720926
"FBgn0052767","FBgn0052767","FBgn0052767","31430","CG32767","dme:Dmel_CG32767",4,0,"X",-5074994
"FBgn0052772","FBgn0052772","FBgn0052772","31420","CG32772","dme:Dmel_CG32772",0,0,"X",4909101
"FBgn0052773","FBgn0052773","FBgn0052773","19835374","CR32773","dme:Dmel_CR32773",0,0,"X",-4387675
"FBgn0052774","FBgn0052774","FBgn0052774","31368","Muc4B","dme:Dmel_CG32774",1,0,"X",-4244123
"FBgn0052783","FBgn0052783","FBgn0052783","318207","CG32783","dme:Dmel_CG32783",1,0,"X",3940846
"FBgn0052786","FBgn0052786","FBgn0052786","318210","CG32786","dme:Dmel_CG32786",1,0,"X",3940846
"FBgn0052791","FBgn0052791","FBgn0052791","31322","DIP-alpha","dme:Dmel_CG32791",0,0,"X",-3511336
"FBgn0052797","FBgn0052797","FBgn0052797","318215","CG32797","dme:Dmel_CG32797",1,0,"X",-2424924
"FBgn0052803","FBgn0052803","FBgn0052803","326240","CG32803","dme:Dmel_CG32803",0,0,"X",-1900698
"FBgn0052806","FBgn0052806","FBgn0052806","318220","CG32806","dme:Dmel_CG32806",1,0,"X",1789565
"FBgn0052808","FBgn0052808","FBgn0052808","318221","CG32808","dme:Dmel_CG32808",3,0,"X",-1468692
"FBgn0052811","FBgn0052811","FBgn0052811","318222","CG32811","dme:Dmel_CG32811",1,0,"X",-1297983
"FBgn0052813","FBgn0052813","FBgn0052813","31089","CG32813","dme:Dmel_CG32813",0,0,"X",1388567
"FBgn0052814","FBgn0052814","FBgn0052814","318223","CG32814","dme:Dmel_CG32814",0,0,"X",-1019794
"FBgn0052815","FBgn0052815","FBgn0052815","318224","CG32815","dme:Dmel_CG32815",0,0,"X",933125
"FBgn0052816","FBgn0052816","FBgn0052816","318225","CG32816","dme:Dmel_CG32816",0,0,"X",-316575
"FBgn0052817","FBgn0052817","FBgn0052817","318226","CG32817","dme:Dmel_CG32817",0,0,"X",479430
"FBgn0052819","FBgn0052819","FBgn0052819","318227","CG32819","dme:Dmel_CG32819",1,0,"X",-21611796
"FBgn0052820","FBgn0052820","FBgn0052820","318228","CG32820","dme:Dmel_CG32820",1,0,"X",-21611796
"FBgn0052821","FBgn0052821","FBgn0052821","12798185","CR32821","",0,0,"0",NA
"FBgn0052823","FBgn0052823","FBgn0052823","318231","Sdic3","dme:Dmel_CG32823",4,0,"X",-20189836
"FBgn0052831","FBgn0052831","FBgn0052831","3772186","CG33695","dme:Dmel_CG33695",0,0,"2L",11278020
"FBgn0052832","FBgn0052832","FBgn0052832","318237","CG32832","dme:Dmel_CG32832",1,0,"2L",-16878422
"FBgn0052833","FBgn0052833","FBgn0052833","37650","CG32833","dme:Dmel_CG32833",0,0,"2R",-22984272
"FBgn0052835","FBgn0052835","FBgn0052835","12798142","CR32835","dme:Dmel_CR32835",1,0,"2R",-22951147
"FBgn0052843","FBgn0052843","FBgn0052843","36475","Dh31-R","dme:Dmel_CG32843",0,0,"2R",-13267797
"FBgn0052845","FBgn0052845","FBgn0052845","318243","CG32845","dme:Dmel_CG32845",1,0,"3L",-271419
"FBgn0052846","FBgn0052846","FBgn0052846","318244","CG32846","dme:Dmel_CG32846",1,0,"3L",-2950173
"FBgn0052847","FBgn0052847","FBgn0052847","318245","CG32847","dme:Dmel_CG32847",1,0,"3L",15121571
"FBgn0052850","FBgn0052850","FBgn0052850","318246","CG32850","dme:Dmel_CG32850",0,0,"4",314922
"FBgn0052856","FBgn0052856","FBgn0052856","318251","CG32856","dme:Dmel_CG32856",0,0,"3R",-15964734
"FBgn0052857","FBgn0052857","FBgn0052857","318252","CG32857","dme:Dmel_CG32857",0,0,"X",-21609356
"FBgn0052865","FBgn0052865","FBgn0052865","3772597","alphagamma-element:CR32865","dme:Dmel_CR32865",0,0,"3R",-12475335
"FBgn0052939","FBgn0052939","FBgn0052939","318260","CG32939","dme:Dmel_CG32939",5,0,"3R",9685758
"FBgn0052944","FBgn0052944","FBgn0052944","40560","CG32944","dme:Dmel_CG32944",1,0,"3R",-4407226
"FBgn0052945","FBgn0052945","FBgn0052945","318261","CG32945","dme:Dmel_CG32945",1,0,"3R",-4577938
"FBgn0052971","FBgn0052971","FBgn0052971","318271","CG32971","dme:Dmel_CG32971",1,0,"2L",14274820
"FBgn0052982","FBgn0052982","FBgn0052982","34237","CG32982","dme:Dmel_CG32982",5,0,"2L",9125736
"FBgn0052984","FBgn0052984","FBgn0052984","34218","CG32984","dme:Dmel_CG32984",0,0,"2L",8964981
"FBgn0052985","FBgn0052985","FBgn0052985","326244","CG32985","dme:Dmel_CG32985",4,0,"2L",8962532
"FBgn0053002","FBgn0053002","FBgn0053002","318825","mRpL27","dme:Dmel_CG33002",0,0,"2L",-4458979
"FBgn0053012","FBgn0053012","FBgn0053012","36342","CG33012","dme:Dmel_CG33012",0,0,"2R",12367352
"FBgn0053013","FBgn0053013","FBgn0053013","14462581","CR33013","",2,0,"0",NA
"FBgn0053017","FBgn0053017","FBgn0053017","36811","CG33017","dme:Dmel_CG33017",1,0,"2R",16272113
"FBgn0053051","FBgn0053051","FBgn0053051","39941","CG33051","dme:Dmel_CG33051",0,0,"3L",-17426285
"FBgn0053052","FBgn0053052","FBgn0053052","326245","CG33052","dme:Dmel_CG33052",5,0,"3L",-17427304
"FBgn0053054","FBgn0053054","FBgn0053054","40340","CG33054","dme:Dmel_CG33054",0,0,"3L",-21197410
"FBgn0053056","FBgn0053056","FBgn0053056","326246","CG33056","dme:Dmel_CG33056",4,0,"3L",-21198260
"FBgn0053057","FBgn0053057","FBgn0053057","318833","CG33057","dme:Dmel_CG33057",0,0,"3L",-8402167
"FBgn0053060","FBgn0053060","FBgn0053060","39807","CG33060","dme:Dmel_CG33060",1,0,"3L",16331039
"FBgn0053061","FBgn0053061","FBgn0053061","318838","CG33061","dme:Dmel_CG33061",1,0,"3L",16329794
"FBgn0053062","FBgn0053062","FBgn0053062","318840","CG33062","dme:Dmel_CG33062",0,0,"3L",-19441718
"FBgn0053080","FBgn0053080","FBgn0053080","31491","CG33080","dme:Dmel_CG33080",5,0,"X",-5708558
"FBgn0053082","FBgn0053082","FBgn0053082","318857","CG33082","dme:Dmel_CG33082",3,0,"X",1030757
"FBgn0053087","FBgn0053087","FBgn0053087","35799","LRP1","dme:Dmel_CG33087",5,0,"2R",8174164
"FBgn0053092","FBgn0053092","FBgn0053092","32625","P5CDh2","dme:Dmel_CG33092",1,0,"3R",21877935
"FBgn0053093","FBgn0053093","FBgn0053093","42654","CG33093","dme:Dmel_CG33093",0,0,"3R",-22530693
"FBgn0053094","FBgn0053094","FBgn0053094","42467","Synd","dme:Dmel_CG33094",0,0,"3R",20832798
"FBgn0053096","FBgn0053096","FBgn0053096","326251","CG33096","dme:Dmel_CG33096",0,0,"3R",25097671
"FBgn0053098","FBgn0053098","FBgn0053098","326253","CG33098","dme:Dmel_CG33098",1,0,"3R",12387564
"FBgn0053099","FBgn0053099","FBgn0053099","326254","CG33099","dme:Dmel_CG33099",2,0,"3R",-22528919
"FBgn0053100","FBgn0053100","FBgn0053100","326255","eIF4EHP","dme:Dmel_CG33100",0,0,"3R",-24063076
"FBgn0053105","FBgn0053105","FBgn0053105","318890","p24-2","dme:Dmel_CG33105",0,0,"3R",-9687401
