© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
GJA1	 	transporter	 	1.387	7.61E-03	5.69E-02	BMP2,CDKN1A,GJB2,IL1B,TNF	 
PLIN1	 	other	 	 	7.61E-03	5.69E-02	ACADL,ACADM,HADHA,HADHB,TNF	 
ITCH	 	enzyme	 	-1.633	7.61E-03	5.69E-02	ELOVL5,IL1A,IL1B,SC5D,TFRC,TNF	197 (7)
CTSS	 	peptidase	 	-0.447	7.61E-03	5.69E-02	CASP3,CTSV,IL1B,PRKCD,TNF,TNFSF10	 
SRC	 	kinase	 	-1.408	7.61E-03	5.69E-02	ABCB11,ABCG5,ABCG8,ATP8B1,DUSP1,MYC	235 (7)
26s Proteasome	 	complex	 	-0.522	8.25E-03	6.11E-02	ATF5,GAS5,HSD3B1,Pmaip1,SOCS3,STAT5A,TXNIP	36 (2)
MKNK1	 	kinase	 	1.069	8.25E-03	6.11E-02	BAG3,DCTN1,DPYSL3,FLNA,FLNB,GPC4,HADHA,HSD17B4,HSPA4L,NCDN,PAFAH1B1,PLXNB2,TXNIP,YWHAG	 
SLC7A2	 	transporter	Inhibited	-2.000	8.44E-03	6.11E-02	CCL3L3,CXCL2,CXCL3,IL1B	 
MFN2	0.501	enzyme	Inhibited	-2.000	8.44E-03	6.11E-02	BNIP3,IL1B,TNF,XBP1	97 (6)
NELFB	 	other	Inhibited	-2.000	8.44E-03	6.11E-02	ATF3,CDKN1A,GADD45A,GADD45B	 
NRG4	1.686	growth factor	 	-0.605	8.44E-03	6.11E-02	CIDEC,EHHADH,ELOVL5,SREBF1	 
UPF1	 	enzyme	 	0.000	8.44E-03	6.11E-02	GRN,LBR,PYGL,SMG1	 
RIPK3	 	kinase	 	1.050	8.44E-03	6.11E-02	IL18,IL1A,IL1B,TNF	59 (5)
MOGAT1	1.882	enzyme	 	1.000	8.44E-03	6.11E-02	ACADL,ACADM,ANGPTL4,CPT1A	94 (2)
CXCL3	4.088	cytokine	 	1.131	8.44E-03	6.11E-02	CCL3L3,CXCL3,GRK5,TNF	 
CCL11	 	cytokine	 	1.951	8.44E-03	6.11E-02	CCL3L3,CXCL3,IL1B,TNF	48 (3)
PPARD	 	ligand-dependent nuclear receptor	 	0.473	8.47E-03	6.11E-02	ACAA1,ACADL,ACY1,ANGPTL4,APOA4,C11orf86,CCL3L3,CPT1A,ECH1,ENO1,GSTA5,IL1B,INHBE,KYAT3,MYCL,NUDT18,PCSK9,PNPLA2,SERINC2,TMEM120A,TNF,TXN2	67 (3)
MET	 	kinase	 	0.262	8.67E-03	6.22E-02	ATM,BMF,CCL3L3,CITED2,CLDN1,Cxcl11,GCLC,Hspa1b,IL18,MYC,NFKBIZ,PLK2,SOCS3	57 (3)
KLF4	1.534	transcription regulator	 	1.995	8.67E-03	6.22E-02	ATP2A2,CASP3,CBFA2T3,CDKN1A,DYRK2,GADD45A,GATA4,GJB2,HLA-DQB1,KLF4,PLAUR,POLE4,RCAN1	 
STAT5a/b	 	group	 	0.896	8.93E-03	6.35E-02	CAVIN2,CISH,DUSP1,F2R,ID2,IL1A,PIM1,SOCS3,Tmsb4x (includes others)	55 (3)
PNPLA2	1.008	enzyme	 	0.923	8.93E-03	6.35E-02	ACADL,ACADM,Acot1,ACOT2,CPT1A,Gstm3,PNPLA2,SREBF1,TNF	120 (5)
CCN2	 	growth factor	Activated	2.345	8.93E-03	6.35E-02	ABCF1,CAVIN2,CYP17A1,FLNB,HAPLN1,HES1,MBNL2,MYC,SERPINE1	 
FOXA3	1.280	transcription regulator	 	-1.535	9.30E-03	6.60E-02	ACADM,CPT1A,CYCS,FOXA2,KLHL13,SLC27A1	 
ABCA1	 	transporter	 	-1.111	9.52E-03	6.73E-02	CCL3L3,CPT1A,CXCL3,CYP51A1,FDFT1,IL1B,SREBF1,TNF	270 (15)
N-cor	 	group	 	-1.633	9.54E-03	6.73E-02	CDKN1A,CIDEC,CXCL2,DHRS3,ELOVL5,FADS2,IDH1,IL1A,IL1B,LHPP,RGL1,SREBF1,TBCC	95 (5)
CREB3L3	 	transcription regulator	 	1.225	9.73E-03	6.77E-02	APOA4,CIDEC,CYP7A1,CYP8B1,SMURF1	 
PLK1	 	kinase	 	 	9.73E-03	6.77E-02	EPHA2,IER3,MYC,PIK3R1,PLA2R1	 
IL1RN	 	cytokine	 	-1.543	9.73E-03	6.77E-02	CYP1A2,CYP7A1,IL1A,IL1B,TNF	17 (3)
FGF21	 	growth factor	 	1.069	9.76E-03	6.77E-02	ACADM,ACLY,CPT1A,DGAT1,GHR,HMGCL,SREBF1	97 (5)
AGER	 	transmembrane receptor	Activated	2.416	9.76E-03	6.77E-02	CCL3L3,CDKN1A,CXCL3,IL1B,S100A8,SERPINE1,TNF	303 (16)
CIDEC	4.181	other	Inhibited	-2.335	9.76E-03	6.77E-02	ACADL,ACADM,CPT1A,CYCS,DGAT1,PNPLA2,SREBF1	 
RXRA	 	ligand-dependent nuclear receptor	 	-1.029	1.01E-02	6.96E-02	ACADM,Ccl9,COLEC12,CYP1A2,CYP4A11,CYP7A1,GCLC,IL1A,IL1B,PC,RXRG,S100A8,SREBF1,TNF,WEE1	 
MRTFA	 	transcription regulator	 	0.194	1.01E-02	6.98E-02	ACTG1,AMOTL2,CAVIN2,CEBPE,CNN2,F2R,FADS2,FLNA,GADD45A,GSTM5,LILRB4,MYL9,S100A8,SERPINE1,SLC20A1,TBXAS1	 
RNF31	 	enzyme	 	-0.378	1.02E-02	6.99E-02	CCL3L3,Ccl9,CXCL2,CXCL3,IL13RA1,IL18,IL1A,IL1B,TNF	 
LDLR	 	transporter	Inhibited	-2.195	1.02E-02	6.99E-02	ACLY,ATP7A,BMP2,Bst2,CCL3L3,CDKN1A,CTSC,CYP7A1,DHRS9,DUSP1,FADS2,FDPS,G6PC,GATM,IER3,IL1A,IL1B,ITGB3,MSR1,MYC,PSMA7,SC5D,SREBF1,TNF,TRIB1	 
KRAS	 	enzyme	 	 	1.02E-02	6.99E-02	ABCA3,ACLY,ADH4,DECR2,ENO1,IL1B,LDHA,Ly6a (includes others),MSR1,MTRR,MYC,MYCN,NLRP3,PEG3,POR,SH2D4A,SREBF1,TNF,TNFSF10,TXNIP	 
OGA	 	enzyme	 	0.426	1.02E-02	6.99E-02	ABCC9,CALCRL,CAVIN2,CCL3L3,Ccl9,CD14,Cd24a,CDKN1A,HPGD,HSD3B7,HSP90AB1,IL18,MGLL,PIK3R1,PLD4,PYGL,RBP4,SLC27A1,SLC2A9,SLC33A1,SOCS3,TCTE3	 
Cd209b	 	other	 	 	1.06E-02	7.10E-02	IL18,IL1B,TNF	 
ANKRD42	 	transcription regulator	 	 	1.06E-02	7.10E-02	CXCL3,IL1B,TNF	 
PPP2CA	0.417	phosphatase	 	 	1.06E-02	7.10E-02	CDKN1A,Cxcl11,TNF	 
PROC	 	peptidase	 	 	1.06E-02	7.10E-02	IL1B,SERPINE1,THBD	 
FBXL5	 	enzyme	 	 	1.06E-02	7.10E-02	GSTA5,HMOX1,TFRC	 
SFTPA1	 	transporter	 	 	1.06E-02	7.10E-02	CXCL3,SH3PXD2A,TNF	 
ST14	 	peptidase	 	 	1.06E-02	7.10E-02	CXCL2,IL1B,TNF	 
HIF1A	 	transcription regulator	 	1.503	1.09E-02	7.30E-02	ADM,BNIP3,CAVIN2,CCL3L3,CDKN1A,CXCL2,CXCL3,DDIT4,ENO1,IL1A,IL1B,ITGB3,LDHA,NDRG1,NFKBIZ,NR4A1,SERPINE1,SOCS3,TFRC,TNF	 
NCOA1	 	transcription regulator	 	-0.599	1.10E-02	7.32E-02	ALDOA,CBX4,CDKN1A,CYP7A1,ERBB3,FGFR2,GJB2,JUNB,KDR,LECT2,MYC,PHB2	 
NCOA3	 	transcription regulator	 	0.640	1.12E-02	7.45E-02	FGFR2,GJB2,HES1,IRF1,KDR,LECT2	 
ID2	1.751	transcription regulator	 	1.127	1.13E-02	7.45E-02	ADM,BCL3,CBFA2T3,CD83,CDKN1A,DUSP1,GADD45B,ID3,IL17RB,INHBB,IRF5,ITGB3,JAK2,KLF6,LEPR,MYC,NFKBID,NR4A1,PIK3R1,PROM1,SOCS3,TNFSF10,TRAF1,ZBTB16	 
POU5F1	 	transcription regulator	Activated	2.341	1.14E-02	7.45E-02	BTG1,CBFA2T3,CTSV,ENO1,GM2A,KLF4,LDHA,MYCN,POLE4,RCAN1,SOCS3	 
Map3k7	 	kinase	 	1.724	1.14E-02	7.45E-02	BHLHE40,CASP3,CCL3L3,Cxcl11,CXCL3,IL1B,MVK,Mx2,NFKBIZ,PROM1,TNF	 
PAK2	 	kinase	 	-0.378	1.15E-02	7.45E-02	CKB,DUSP1,GADD45A,H3C8,ID1,ID3,PLAUR	 
THRAP3	 	transcription regulator	 	1.715	1.15E-02	7.45E-02	ACY1,CA3,Cd24a,TXNIP	 
BCO1	 	enzyme	 	 	1.15E-02	7.45E-02	ARRDC3,BCO2,DECR1,ELOVL2	 
CXCL12	 	cytokine	 	0.762	1.15E-02	7.45E-02	ID1,JUNB,Ly6a (includes others),ZBTB16	 
KDM5B	 	transcription regulator	 	-1.000	1.15E-02	7.45E-02	ERBB3,FGFR2,STAT5A,XBP1	 
RPL22	 	translation regulator	Inhibited	-2.000	1.15E-02	7.45E-02	ATF3,CDKN1A,Pmaip1,XBP1	 
RNA polymerase II	 	complex	 	 	1.17E-02	7.57E-02	ALPL,Ccl9,CD14,CD83,Cxcl11,CYP7A1,GADD45B,GHR,HLA-DQA1,HNF4A,HSPA1A/HSPA1B,Ifi47,IL1B,KPNA2,MYC,SOCS3,Tmsb4x (includes others)	 
mir-8	 	microRNA	 	0.261	1.21E-02	7.77E-02	AMOTL2,ATF3,CDKN1A,CLDN1,FGFR2,MYC,OCLN,Pmaip1,TIAM1,XBP1,YWHAG,ZFP36	 
CYB5R4	 	enzyme	 	-0.626	1.22E-02	7.77E-02	ACSL3,ATF3,GCLC,HMOX1,XBP1	 
ALOX15	 	enzyme	 	-0.200	1.22E-02	7.77E-02	CXCL2,HMOX1,ID3,IL1B,TNF	 
KCNJ10	 	ion channel	 	0.447	1.22E-02	7.77E-02	AKR1B10,GADD45A,GBP6,IGFBP2,Pmaip1	 
USP19	 	peptidase	 	-0.650	1.22E-02	7.77E-02	BNIP3,DDIT4,FKBP5,IL1B,TNF	 
HSF2	 	transcription regulator	 	 	1.22E-02	7.77E-02	Hspa1b,HSPB1,HSPH1,PSMC4,PSMD3	 
TAZ	 	enzyme	 	0.808	1.26E-02	7.96E-02	DUSP1,HMOX1,IDH1,KLF6,LDHA,MYC,PLK2,TFRC	 
TREM2	 	transmembrane receptor	 	-0.420	1.26E-02	7.96E-02	AXL,CCL3L3,CTSV,CXCL2,IL1A,IL1B,TNF,TNFAIP3	 
IL17A	 	cytokine	 	1.991	1.26E-02	7.96E-02	CXCL2,CXCL3,GADD45A,HSPB8,IL1B,NFKBIZ,OCLN,RGS16,S100A8,TNF,TNFRSF14	 
SASH1	 	other	 	-0.302	1.26E-02	7.96E-02	ATM,CITED2,Cxcl11,Iigp1,IL18,IRF1,Mx2,NFKBIZ,PLA1A,PML,TNF	 
CD44	 	other	 	-1.375	1.28E-02	8.02E-02	ABCA2,CDKN1A,CELA1,CIDEC,COL3A1,Cyb5r3,FKBP5,HSP90AB1,IL1B,Ly6a (includes others),MOGAT1,MYBBP1A,NPNT,TIAM1,TNF,ZYX	 
CCND1	 	transcription regulator	 	-1.633	1.30E-02	8.16E-02	BHMT2,CDKN1A,COL27A1,CTNNBIP1,EPHA2,HSPA8,ID1,ID3,TIAM1	 
GNAQ	 	enzyme	 	1.890	1.34E-02	8.35E-02	ATF3,CTSV,PLAUR,Rnf125,SERPINE1,SOCS3,THBD	 
CASP1	 	peptidase	 	0.035	1.35E-02	8.37E-02	CXCL2,IL18,IL1A,IL1B,SREBF1,TNF	 
IL17RA	 	transmembrane receptor	 	1.360	1.35E-02	8.37E-02	CXCL2,CXCL3,IL1A,IL1B,S100A8,TNF	 
MYD88	 	other	Activated	2.566	1.35E-02	8.39E-02	ATM,BCL3,BLM,CCL3L3,CCRL2,CD14,CXCL2,CXCL3,DUSP1,IL18,IL1A,IL1B,IRF1,KDM6B,MEFV,MYC,NFKBIZ,NLRP3,PILRA,PSTPIP2,S100A8,SAMHD1,SERPINE1,SOCS3,TNF,TNFAIP3	 
VDR	 	transcription regulator	 	0.703	1.39E-02	8.53E-02	CISH,CLIP1,DSG1,GADD45A,H2AZ1,Hmgn2 (includes others),ID1,IER3,IL18,IL1A,LBH,ODC1,PTPRF,RNF144A,S100A8,Slco1a1,SOCS3,SREBF1,THBD,TXNIP,WSB1,ZYX	 
UCHL1	 	peptidase	 	-0.971	1.40E-02	8.53E-02	BACH2,DPYSL2,EIF2B3,EIF2B4,GOLM1,LBH,PSMC2,RWDD3,SH2D4A,SLC39A8,UBA7	 
MAPK14	 	kinase	 	1.188	1.49E-02	8.53E-02	Cxcl11,CYP51A1,DUSP1,ELAVL1,FDPS,G6PC,IL18,IL1B,Pmaip1,SIGIRR,SREBF1,TNF,ZFP36	 
PDK	 	group	 	 	1.49E-02	8.53E-02	IL1B,TNF	 
C1QTNF12	 	other	 	 	1.49E-02	8.53E-02	IL1B,TNF	 
IKK (complex)	 	complex	 	 	1.49E-02	8.53E-02	IL1B,TNF	 
CERS5	 	transcription regulator	 	 	1.49E-02	8.53E-02	IL1B,TNF	 
Dlx6os1	 	other	 	 	1.49E-02	8.53E-02	AKR1B10,Umad1	 
TOX	1.026	transcription regulator	 	 	1.49E-02	8.53E-02	ID2,ZBTB7B	 
C1QTNF1	 	other	 	 	1.49E-02	8.53E-02	IL1B,TNF	 
METTL3	 	enzyme	 	 	1.49E-02	8.53E-02	CISH,SOCS3	 
HP1BP3	 	other	 	 	1.49E-02	8.53E-02	IGFBP1,IGFBP2	 
CIRBP	 	translation regulator	 	 	1.49E-02	8.53E-02	CXCL2,CXCL3	 
SFRP5	 	transmembrane receptor	 	 	1.49E-02	8.53E-02	IL1B,TNF	 
SIRT4	-0.765	enzyme	 	 	1.49E-02	8.53E-02	IL1B,TNF	 
NAAA	 	enzyme	 	 	1.49E-02	8.53E-02	IL1B,TNF	 
HINT1	 	enzyme	 	 	1.49E-02	8.53E-02	ELOVL5,FADS2	 
THBD	0.832	transmembrane receptor	 	 	1.49E-02	8.53E-02	IL1B,TNF	 
miR-125b-1-3p (miRNAs w/seed CGGGUUA)	 	mature microRNA	 	 	1.49E-02	8.53E-02	IL1B,TNF	 
TGFB1I1	 	transcription regulator	 	 	1.49E-02	8.53E-02	KRT19,TNS1	 
IFT57	 	other	 	 	1.49E-02	8.53E-02	FOXA2,PTCH1	 
RNF41	 	enzyme	 	 	1.49E-02	8.53E-02	IL1B,TNF	 
PIP5K1B	 	kinase	 	 	1.49E-02	8.53E-02	IL1B,TNF	 
IFNGR2	 	transmembrane receptor	 	 	1.49E-02	8.53E-02	GBP3,IRF1	 
C4A/C4B	 	other	 	 	1.49E-02	8.53E-02	IL1B,TNF	 
GJC1	 	ion channel	 	 	1.49E-02	8.53E-02	IL1B,TNF	 
KLF7	 	transcription regulator	 	 	1.49E-02	8.53E-02	CDKN1A,NTRK1	 
UPP1	 	enzyme	 	 	1.49E-02	8.53E-02	Acot1,EHHADH	 
CUL4B	 	other	 	 	1.49E-02	8.53E-02	TNF,ZFP36	 
COL1A2	 	other	 	 	1.49E-02	8.53E-02	CDKN1A,SERPINE1	 
SORT1	-1.511	G-protein coupled receptor	 	 	1.49E-02	8.53E-02	Ces1g,TNF	 
ERO1A	 	enzyme	 	 	1.49E-02	8.53E-02	CXCL2,CXCL3	 
CAMK2D	 	kinase	 	 	1.49E-02	8.53E-02	HBA1/HBA2,HBB	 
P2RX7	 	ion channel	 	 	1.49E-02	8.53E-02	IL1B,NLRP3	 
Supt20	 	other	 	 	1.49E-02	8.53E-02	IL1B,TNF	 
let-7	 	microRNA	 	-0.625	1.51E-02	8.53E-02	COL27A1,COL3A1,HBA1/HBA2,MYC,TNF	 
GDF9	 	growth factor	 	1.387	1.51E-02	8.53E-02	CYP17A1,ID1,ID2,ID3,INHBB	 
SRSF2	 	transcription regulator	 	-0.447	1.51E-02	8.53E-02	ABCC9,FOXA2,HSD3B7,MLXIPL,SREBF1	 
PRF1	 	transporter	 	0.000	1.52E-02	8.53E-02	CCL3L3,IL18,IL1B,TNF	 
INSIG2	 	other	 	1.982	1.52E-02	8.53E-02	ACLY,FDFT1,FDPS,SREBF1	 
RETN	 	other	 	1.154	1.52E-02	8.53E-02	G6PC,MYC,SOCS3,TNF	 
C5AR2	 	G-protein coupled receptor	 	-0.832	1.52E-02	8.53E-02	ATP2A2,CXCL2,CXCL3,IL1B	 
ATF3	1.462	transcription regulator	 	-0.547	1.55E-02	8.67E-02	CD83,CDKN1A,G6PC,GBP6,KRT19,NFKBIZ,TNF	 
SCARB1	 	transporter	 	-1.664	1.60E-02	8.71E-02	ABCG5,ABCG8,DDIT4,IL1B,SREBF1,TNF	 
PI3K (complex)	 	complex	 	-0.887	1.60E-02	8.71E-02	CYP7A1,DDIT4,DUSP1,GCLC,GSTA5,GSTM5,HMOX1,IL1B,MYC,RFX4,SREBF1,TNF	 
SAA	 	group	 	 	1.61E-02	8.71E-02	IL1B,NLRP3,TNF	 
GPR84	 	G-protein coupled receptor	 	 	1.61E-02	8.71E-02	CCL3L3,IL1B,TNF	 
ADGRF5	 	G-protein coupled receptor	 	 	1.61E-02	8.71E-02	CCL3L3,CXCL3,TNF	 
CRBN	 	enzyme	 	 	1.61E-02	8.71E-02	MYC,ODC1,SRM	 
LTBP4	 	growth factor	 	 	1.61E-02	8.71E-02	ID1,ID2,MYC	 
CYP2E1	 	enzyme	 	 	1.61E-02	8.71E-02	CYP4A11,Cyp4a14,TNF	 
PLCE1	 	enzyme	 	 	1.61E-02	8.71E-02	CXCL2,CXCL3,TNF	 
FEM1A	0.674	transcription regulator	 	 	1.61E-02	8.71E-02	CXCL2,IL1B,TNF	 
SLC2A1	 	transporter	 	 	1.61E-02	8.71E-02	DHRS9,Gsta4,HMOX1	 
NRP1	 	transmembrane receptor	 	 	1.61E-02	8.71E-02	HLA-DQB1,IL1B,TNF	 
KLB	 	enzyme	 	 	1.61E-02	8.71E-02	CYP7A1,CYP8B1,HMGCS1	 
Cdkn1c	 	other	 	 	1.61E-02	8.71E-02	ATM,CDKN1A,Pmaip1	 
Usp17la (includes others)	 	peptidase	 	 	1.61E-02	8.71E-02	KLF4,MYC,PROM1	 
IRF3	 	transcription regulator	 	0.616	1.62E-02	8.74E-02	Bst2,CCL3L3,CCRL2,Cxcl11,Ifi47,IL1A,IL1B,IRF1,Klrk1,Mx2,Pmaip1,PML,PRNP,TNF,TNFSF10	 
PDX1	 	transcription regulator	 	 	1.62E-02	8.77E-02	ARL4D,ATF5,CRELD2,GNG12,IDH1,KAT7,KLF10,MPHOSPH10,Pmaip1,RHOBTB1,TRIB3,TSPAN8,TXNIP	 
OGT	 	enzyme	 	-1.579	1.63E-02	8.77E-02	ACLY,CXCL2,CXCL3,IGFBP2,IL1B,LBH,RGS16,TNF	 
PTPN1	 	phosphatase	 	1.300	1.63E-02	8.77E-02	ADRA1B,ATM,Cxcl11,CXCL2,CXCL3,DUSP1,PIK3R1,TNF	 
TRAF3	 	enzyme	 	-0.943	1.64E-02	8.79E-02	ADM,CARMIL1,CXCL2,CXCL3,LILRB4,NDRG1,PLBD1,PYGL,TNF	 
TCF12	 	transcription regulator	 	0.707	1.64E-02	8.79E-02	CBFA2T3,CDKN1A,ID2,ID3,KLF6,LILRB4,Ly6a (includes others),STK17B,ZBTB16	 
TBK1	 	kinase	 	0.877	1.75E-02	9.32E-02	ATM,CCL3L3,Cxcl11,CXCL2,CXCL3,Iigp1,IL18,IL1A,Mx2,NFKBIZ,PLA1A,TNF	 
PIK3R1	0.578	kinase	 	1.010	1.78E-02	9.45E-02	ATF5,ERN1,HMOX1,IL1B,LDHA,MYC,PIK3R1,TNF,TRIB3,TXNIP	 
SERPINE2	 	other	 	-1.741	1.78E-02	9.45E-02	Ccl9,Cxcl11,CXCL3,IL1A,IL1B,PTCH1,TNF	 
MED13	 	transcription regulator	 	0.000	1.78E-02	9.45E-02	CIDEC,ENO1,G6PC,PCSK9,PYGL,Sik1,TKT	 
IFN alpha/beta	 	group	 	-0.552	1.83E-02	9.63E-02	AXL,CCRL2,GAS7,IRF1,Ly6a (includes others),LY6E,Mx2,Pmaip1,TNFSF10	 
ELL2	 	transcription regulator	 	-0.707	1.83E-02	9.63E-02	CITED2,CRELD2,CYP26A1,ERGIC1,ITM2C,MYC,SLC33A1,TRIB1,XBP1	 
SSB	 	enzyme	 	1.342	1.84E-02	9.63E-02	Ccl9,CD74,HLA-DQA1,HLA-DQB1,IL1B	 
GNAI2	 	enzyme	 	0.447	1.84E-02	9.63E-02	BHLHE40,BNIP3,CCL3L3,CXCL3,TNF	 
ESRRB	 	transcription regulator	 	1.000	1.84E-02	9.63E-02	Hspa1b,NFKBID,PFKFB2,POLE4,SLC6A6	 
Gm21596/Hmgb1	 	transcription regulator	 	1.364	1.84E-02	9.63E-02	CXCL3,IL1B,PROM1,SIGIRR,TNF	 
Histone h3	 	group	 	 	1.84E-02	9.63E-02	ADRA1B,CDKN1A,FGFR2,FOXA2,GAS2,GATA4,GCNT4,GHR,HBA1/HBA2,HBB,HES1,HNF4A,ID2,IGFBP2,IL1B,LRAT,MGLL,PRKRA,PTCH1,PTGR1,S100A8,SOCS3,SREBF1,TNFAIP3,TRIB1	 
ZBTB7B	0.508	transcription regulator	 	-0.447	1.85E-02	9.63E-02	CCL3L3,DECR2,DHRS4,DHRS9,HMGCS1,KLF4,SFXN5,TNF	 
TREM1	 	transmembrane receptor	Activated	2.148	1.88E-02	9.76E-02	CD14,CXCL3,IL1B,MFN2,SIGIRR,TNF	 
ADORA2A	 	G-protein coupled receptor	 	-0.052	1.90E-02	9.88E-02	ATP2A2,Cd24a,CKB,CXCL2,DUSP1,HBA1/HBA2,HMOX1,NR4A1,OCLN,PEA15,PEG3,PLA2G12A,PPP2CA,TNF	 
PROCR	 	other	 	-1.997	1.95E-02	1.01E-01	GBP6,Iigp1,IL1B,TNF	 
GNA12	 	enzyme	 	1.982	1.95E-02	1.01E-01	GCLC,GSTA3,Gsta4,GSTA5	 
NOX4	 	enzyme	 	0.000	1.95E-02	1.01E-01	GCLC,GSTA5,HMOX1,SERPINE1	 
RUNX1	 	transcription regulator	 	1.172	1.96E-02	1.01E-01	AQP1,CDKN1A,EBNA1BP2,GPATCH4,HBA1/HBA2,ID2,IL1B,IPO4,Ly6a (includes others),MAP3K6,MYBBP1A,MYC,NOP2,PIK3R1,PTCH1,TSPAN33	 
NOS2	 	enzyme	 	-0.568	2.00E-02	1.03E-01	ATP2A2,CASP3,CCL3L3,Ccl9,CD14,CDKN1A,CTSC,CXCL2,CXCL3,CYCS,G6PC,IL1B,KDR,KLF6,LILRB4,PC,TKT,TNF,TNFSF10	 
ARNT	 	transcription regulator	 	1.605	2.04E-02	1.04E-01	ADM,ALDOA,BNIP3,CLDN1,CYP1A1,DNAJC2,ENO1,G6PC,HNF4A,ITGB3,LDHA	 
LRP1	 	transmembrane receptor	 	-1.704	2.04E-02	1.04E-01	ABCG5,ABCG8,CCL3L3,CD14,COL3A1,IL1B,TNF	 
CREBBP	 	transcription regulator	 	 	2.04E-02	1.04E-01	ARHGEF10L,BANK1,CDKN1A,CKB,DHFR,DHRS3,DUSP1,FRMD4B,GFRA1,GM2A,HDAC11,MAFG,MAP3K8,MFHAS1,NDRG1,NR4A1,PTPRF,RGL1,Rnf125,RPS6KA1,SOCS3,ST6GAL1,STOM,TNF,TNFAIP3,TRAF1,TSPAN31,TUBA8,YPEL2	 
DNASE2	 	enzyme	 	-0.283	2.19E-02	1.11E-01	ACKR4,Apol9a/Apol9b,CXCL2,Ly6a (includes others),TNF,TNFSF10	 
IPMK	 	kinase	 	0.447	2.21E-02	1.13E-01	FLNA,HSP90AB1,JUNB,MYL9,TNF	 
Irgm1	 	other	 	-0.139	2.24E-02	1.14E-01	Apol9a/Apol9b,Cxcl11,GBP6,ID2,ID3,Iigp1,IL1B,IRF1,LILRB4,Mx2,SAMHD1,TNF,TRIM5	 
Hsp90	 	group	 	 	2.28E-02	1.14E-01	BAG3,HSPA1A/HSPA1B,ZFAND2A	 
OLFM4	 	other	 	 	2.28E-02	1.14E-01	CCL3L3,IL1B,TNF	 
CAVIN1	 	transcription regulator	 	 	2.28E-02	1.14E-01	ATM,CDKN1A,TNF	 
LPCAT3	 	enzyme	 	 	2.28E-02	1.14E-01	ABCG8,CPT1A,Cyp4a14	 
SELE	 	transmembrane receptor	 	 	2.28E-02	1.14E-01	CCL3L3,IL1B,TNF	 
Mup1 (includes others)	 	other	 	 	2.28E-02	1.14E-01	CYCS,G6PC,MLXIPL	 
CTTN	 	other	 	 	2.28E-02	1.14E-01	CXCL2,IL1B,TNF	 
ANGPTL4	-1.777	other	 	 	2.28E-02	1.14E-01	CXCL3,ERN1,XBP1	 
THRB	 	ligand-dependent nuclear receptor	Inhibited	-2.197	2.28E-02	1.14E-01	BCL3,CCN4,Cxcl11,CXCL2,CXCL3,CYP7A1,FDPS,FZD6,FZD7,G6PC,ID1,IGFBP2,MLXIPL,MYC,NRAS,NUDT7,PPP2CA,SH2D4A,STAT5B,TNF,TNFSF10	 
MTORC1	 	complex	 	0.000	2.32E-02	1.16E-01	FDPS,IDI1,INSIG1,KLF4,LDHA,SIRT4,TNF	 
IL17C	 	cytokine	 	1.987	2.46E-02	1.20E-01	IL1A,IL1B,S100A8,TNF	 
LRBA	 	other	Inhibited	-2.000	2.46E-02	1.20E-01	CCL3L3,IL1B,Mx2,TNF	 
GAS2L3	 	other	 	0.762	2.46E-02	1.20E-01	CDKN1A,F2R,PLK2,TM4SF1	 
ALDH1A1	 	enzyme	 	-0.849	2.46E-02	1.20E-01	ACADM,BMP2,G6PC,MLXIPL	 
MSR1	-0.708	transmembrane receptor	 	-0.970	2.46E-02	1.20E-01	CXCL2,CXCL3,IL1B,TNF	 
ONECUT1	 	transcription regulator	 	 	2.46E-02	1.20E-01	CYP7A1,FOXA2,G6PC,HNF4A	 
MAP3K1	 	kinase	 	0.958	2.46E-02	1.20E-01	COL3A1,MAN2B2,SERPINE1,TNF	 
GNRH1	 	other	 	 	2.46E-02	1.20E-01	CYP17A1,HSD3B1,IL1B,INHBB	 
ID3	1.707	transcription regulator	 	1.265	2.54E-02	1.24E-01	ADM,BCL3,CBFA2T3,CD83,DUSP1,GADD45B,IL17RB,INHBB,IRF5,ITGB3,JAK2,KLF6,LEPR,MYC,NR4A1,PIK3R1,SOCS3,TNFSF10,TRAF1,ZBTB16	 
C3	 	peptidase	 	1.459	2.61E-02	1.27E-01	CASP3,CCL3L3,Ccl9,CXCL2,CXCL3,IL1A,IL1B,TNF	 
DOCK8	 	other	 	0.000	2.61E-02	1.27E-01	ATM,CITED2,Cxcl11,Iigp1,IL18,IRF1,Mx2,NFKBIZ,PLA1A,TNF	 
IL1R1	 	transmembrane receptor	 	1.053	2.63E-02	1.27E-01	CCL3L3,CXCL2,CXCL3,IL18,IL1A,IL1B,TNF	 
CASP8	 	peptidase	 	-0.093	2.63E-02	1.27E-01	CCL3L3,Cxcl11,IL18,IL1A,IL1B,NLRP3,TNF	 
TNFAIP3	1.927	enzyme	 	-1.959	2.63E-02	1.27E-01	IL1B,NLRP3,TFRC,TNF,TNFAIP3	 
