© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
RBL1	 	transcription regulator	 	 	 	3.85E-03	2.07E-02	CASP4,CCNE1,CDC25A,HES1,PPARGC1A,TNF	49 (6)
EGLN1	 	enzyme	 	-0.640	 	3.85E-03	2.07E-02	Ccl2,CXCR4,HES1,IL1B,TNF,VEGFA	120 (11)
IL17C	 	cytokine	 	1.987	bias	3.97E-03	2.11E-02	IL1B,S100A8,S100A9,TNF	 
GLIS2	 	transcription regulator	 	-1.000	bias	3.97E-03	2.11E-02	Ccl2,CCN2,CXCL10,SERPINE1	 
NT5E	 	phosphatase	 	-1.980	 	3.97E-03	2.11E-02	Ccl2,IL1B,SERPINE1,TNF	21 (4)
CAMP	 	other	 	-1.710	 	3.97E-03	2.11E-02	ICAM1,IL1B,MYD88,TNF	149 (19)
IRS1	 	enzyme	 	1.565	 	4.25E-03	2.25E-02	CEBPB,CEBPD,FBXO32,G6PC,GCK,HMOX1,IGFBP1,IRS2,PCK1,PIK3R1,PPARGC1A,TRIB3	121 (12)
EIF4EBP1	 	translation regulator	 	0.537	 	4.35E-03	2.29E-02	CEBPB,CEBPD,CEBPG,CXCL10,PPARGC1A	84 (6)
LRP6	 	transmembrane receptor	 	-1.032	 	4.35E-03	2.29E-02	G6PC,IL1B,PPARGC1A,ROCK2,TNF	62 (10)
PTGES	 	enzyme	 	0.555	 	4.35E-03	2.29E-02	Ccl2,CCN2,G6PC,SERPINE1,TNF	87 (8)
KLF11	-1.239	transcription regulator	 	0.000	 	4.58E-03	2.41E-02	CCL3L3,CCN2,CEBPB,CXCR4,IL1B,INHBE,PCK1,SERPINE1,TNF,VEGFA	 
CFTR	 	ion channel	Inhibited	-2.204	 	4.94E-03	2.52E-02	BLNK,Ccl2,CYP2B6,IL1B,NFKBIZ,S100A8,SAA1,SOCS3,TNF	67 (9)
BCL6	 	transcription regulator	Inhibited	-2.561	 	4.97E-03	2.52E-02	ADCY9,BCL3,BMP2,Ccl2,CCL3L3,CSF1,CXCL3,IL1B,IRF1,JMY,JUNB,RWDD3,STAT3,TNF	88 (15)
THRB	 	ligand-dependent nuclear receptor	Inhibited	-2.060	 	5.01E-03	2.52E-02	BCL3,Ccl2,CCND1,CCNE1,CXCL10,Cxcl11,CXCL2,CXCL3,CYP7A1,FZD7,G6PC,ID1,SLC7A11,STAT5B,TLR2,TNF	172 (20)
CFB	 	peptidase	 	1.980	bias	5.01E-03	2.52E-02	CXCL2,CXCL3,HSPA5,IL1B	 
NBEAL2	 	other	 	-1.982	 	5.01E-03	2.52E-02	CCL3L3,CXCL10,CXCL2,CXCL3	104 (11)
IL36A	 	cytokine	 	 	 	5.01E-03	2.52E-02	CXCL2,CXCL3,IL1B,TNF	72 (4)
STAT5a/b	 	group	 	1.067	 	5.05E-03	2.52E-02	CAVIN2,CDC25A,CISH,DUSP1,ID2,PIM1,SOCS3	40 (4)
XBP1	1.689	transcription regulator	 	-0.022	 	5.05E-03	2.52E-02	ATF4,CXCL2,HMOX1,HSPA5,S1PR1,SLC38A2,TNF	62 (5)
FLI1	 	transcription regulator	Activated	2.216	bias	5.08E-03	2.52E-02	Ccl2,CXCL10,DDX21,NIP7,Nolc1,SRC	45 (5)
SERPINE2	 	other	Inhibited	-2.412	bias	5.08E-03	2.52E-02	Ccl2,CXCL10,Cxcl11,CXCL3,IL1B,TNF	85 (8)
MEF2D	 	transcription regulator	 	0.000	bias	5.08E-03	2.52E-02	CCN2,HDAC5,HMOX1,JUNB,SLC7A11,ZFP36	 
APC	 	enzyme	Inhibited	-2.595	 	5.16E-03	2.52E-02	CCND1,CXCL2,CXCL3,HES1,ID1,ID2,ID3,PDK4,TIGAR,TNF,VEGFA	136 (17)
PDK	 	group	 	 	 	5.30E-03	2.52E-02	IL1B,TNF	 
ARRDC3	1.878	other	 	 	 	5.30E-03	2.52E-02	GCK,PCK1	50 (4)
Gm10768	 	other	 	 	 	5.30E-03	2.52E-02	G6PC,PCK1	 
CERS5	 	transcription regulator	 	 	 	5.30E-03	2.52E-02	IL1B,TNF	 
C1QTNF1	 	other	 	 	 	5.30E-03	2.52E-02	IL1B,TNF	 
METTL3	 	enzyme	 	 	 	5.30E-03	2.52E-02	CISH,SOCS3	62 (7)
S1PR4	 	G-protein coupled receptor	 	 	 	5.30E-03	2.52E-02	Ccl2,CXCL2	48 (5)
SELENOS	 	other	 	 	 	5.30E-03	2.52E-02	HSPA5,XBP1	 
CIRBP	-1.057	translation regulator	 	 	 	5.30E-03	2.52E-02	CXCL2,CXCL3	48 (5)
SIRT4	 	enzyme	 	 	 	5.30E-03	2.52E-02	IL1B,TNF	 
OLA1	 	enzyme	 	 	 	5.30E-03	2.52E-02	CCND1,CCNE1	41 (4)
SCARB2	 	transmembrane receptor	 	 	 	5.30E-03	2.52E-02	Ccl2,TNF	 
NAAA	 	enzyme	 	 	 	5.30E-03	2.52E-02	IL1B,TNF	 
H6PD	 	enzyme	 	 	 	5.30E-03	2.52E-02	GCK,TAT	 
THBD	 	transmembrane receptor	 	 	 	5.30E-03	2.52E-02	IL1B,TNF	 
ERN2	 	kinase	 	 	 	5.30E-03	2.52E-02	HSPA5,ICAM1	 
mir-25	 	microRNA	 	 	 	5.30E-03	2.52E-02	MYLIP,TNF	 
miR-125b-1-3p (miRNAs w/seed CGGGUUA)	 	mature microRNA	 	 	 	5.30E-03	2.52E-02	IL1B,TNF	 
HCK	 	kinase	 	 	 	5.30E-03	2.52E-02	SRC,TNF	 
RNF41	 	enzyme	 	 	 	5.30E-03	2.52E-02	IL1B,TNF	108 (9)
PIP5K1B	 	kinase	 	 	 	5.30E-03	2.52E-02	IL1B,TNF	120 (13)
SENP6	 	peptidase	 	 	 	5.30E-03	2.52E-02	ICAM1,TNF	 
Tmsb4x (includes others)	 	other	 	 	 	5.30E-03	2.52E-02	ICAM1,NPHS1	 
C4A/C4B	 	other	 	 	 	5.30E-03	2.52E-02	IL1B,TNF	 
GJC1	 	ion channel	 	 	 	5.30E-03	2.52E-02	IL1B,TNF	72 (4)
DOCK5	 	other	 	 	 	5.30E-03	2.52E-02	G6PC,PCK1	44 (5)
CUL4B	 	other	 	 	 	5.30E-03	2.52E-02	TNF,ZFP36	43 (4)
ERO1A	 	enzyme	 	 	 	5.30E-03	2.52E-02	CXCL2,CXCL3	 
TFF3	 	other	 	 	 	5.30E-03	2.52E-02	G6PC,PPARGC1A	 
CD300LD	 	other	 	 	 	5.30E-03	2.52E-02	Ccl2,TNF	111 (11)
P2RX7	 	ion channel	 	 	 	5.30E-03	2.52E-02	IL1B,NLRP3	 
Supt20	 	other	 	 	 	5.30E-03	2.52E-02	IL1B,TNF	114 (13)
Hsp90	 	group	 	 	 	5.35E-03	2.52E-02	BAG3,HSPA1A/HSPA1B,ZFAND2A	 
CCDC88A	 	other	 	 	 	5.35E-03	2.52E-02	CXCL3,IL1B,TNF	116 (11)
AGT	 	growth factor	 	 	 	5.35E-03	2.52E-02	Ccl2,CXCL2,OCLN	49 (5)
GPER1	 	G-protein coupled receptor	 	 	 	5.35E-03	2.52E-02	CCND1,HSPA5,NOP58	 
mir-124	 	microRNA	 	 	 	5.35E-03	2.52E-02	Ccl2,FOXA2,TRAF6	 
HSPA9	 	other	 	 	 	5.35E-03	2.52E-02	FOXO1,HES1,SESN2	 
NLRC4	 	other	 	 	 	5.35E-03	2.52E-02	CXCL2,CXCL3,IL1B	125 (16)
BMX	 	kinase	 	 	 	5.35E-03	2.52E-02	HSPA1A/HSPA1B,PPARGC1A,TNFRSF1B	 
RNF31	 	enzyme	Inhibited	-2.000	bias	5.65E-03	2.65E-02	Ccl2,CCL3L3,CXCL10,CXCL2,CXCL3,IL1B,TNF	105 (12)
DDX58	 	enzyme	 	1.710	bias	5.65E-03	2.65E-02	CASP4,Ccl2,CXCL10,IRF1,SOCS3,STAT2,TNF	145 (15)
SLC13A1	 	transporter	Inhibited	-2.530	 	5.79E-03	2.71E-02	ACTG1,ANKS4B,ARRDC2,BYSL,CLPX,HSPA5,PCK1,TUBA1C,XBP1,YARS1	 
NLRP3	1.653	other	 	1.180	 	5.79E-03	2.71E-02	Ccl2,CCL3L3,CXCL10,CXCL2,H2AX,HMOX1,IL1B,RELB,STAT3,TNF	129 (18)
CASP1	 	peptidase	 	1.298	 	6.06E-03	2.81E-02	Ccl2,CXCL2,IL1B,RIPK1,TNF	128 (16)
E2F4	0.651	transcription regulator	 	 	 	6.06E-03	2.81E-02	CASP4,CDC25A,PPARGC1A,SERPINE1,TNF	 
ADORA2B	 	G-protein coupled receptor	 	-0.577	 	6.06E-03	2.81E-02	Ccl2,CXCL2,CXCL3,IL1B,TNF	120 (13)
BRCA1	 	transcription regulator	 	0.391	 	6.06E-03	2.81E-02	CCND1,CCNE1,Cd24a,GTF2H1,HMOX1	22 (3)
CLEC7A	 	transmembrane receptor	 	1.916	bias	6.23E-03	2.83E-02	CCL3L3,CXCL2,IL1B,TNF	109 (11)
CD200	 	other	 	-1.976	 	6.23E-03	2.83E-02	CCL3L3,IL1B,TLR2,TNF	91 (12)
PTPN2	0.725	phosphatase	 	 	 	6.23E-03	2.83E-02	CCL3L3,CCND1,Cxcl11,PPARGC1A	129 (11)
FMO3	 	enzyme	Inhibited	-2.000	bias	6.23E-03	2.83E-02	FOXO1,G6PC,PDK4,PPARGC1A	 
FABP4	 	transporter	 	1.268	 	6.23E-03	2.83E-02	Ccl2,IL1B,SOCS3,TNF	147 (16)
IFI16	 	transcription regulator	 	1.091	 	6.23E-03	2.83E-02	CXCL10,ID2,IL1B,TNF	107 (13)
USP18	 	peptidase	 	-1.982	bias	6.23E-03	2.83E-02	Ccl2,CCL3L3,CXCL10,SOCS3	133 (13)
NFKBIZ	1.822	transcription regulator	 	1.119	 	6.23E-03	2.83E-02	Ccl2,CEBPD,CXCL3,S100A9	72 (10)
COMMD1	 	transporter	 	0.000	bias	6.23E-03	2.83E-02	DDIT4,KRT19,TFRC,VEGFA	 
MYCBP2	 	enzyme	 	-1.000	bias	6.23E-03	2.83E-02	BAZ1B,CASP4,HDAC5,ROCK2	 
PDX1	 	transcription regulator	 	0.606	bias	6.25E-03	2.84E-02	ARL4D,ATF4,CRELD2,GCK,HSPA5,INTS5,IRS2,MPHOSPH10,TRIB3,TXNIP	 
SIRT1	 	transcription regulator	 	0.420	 	6.56E-03	2.97E-02	Ccl2,CCND1,CEBPB,CYP2B6,EIF2AK3,FBXO32,FOXO1,FOXO3,G6PC,GADD45A,GATA4,GBP6,GCK,HSPA5,IL1B,PCK1,PDK4,POLR1A,PPARGC1A,RELB,RGS16,STAT3,TNF	144 (14)
PRKCD	 	kinase	 	0.692	 	6.57E-03	2.97E-02	Ccl2,CCNE1,CEBPB,IL1B,TNF,VEGFA	89 (15)
NR1H3	 	ligand-dependent nuclear receptor	 	-0.840	 	6.62E-03	2.99E-02	APCS,ATF3,Ccl2,CCL3L3,CTSC,CXCL10,Cxcl11,CXCL2,CYP7A1,G6PC,GCK,IL1B,MID1IP1,MYLIP,NFKBIA,PPARGC1A,TNF	138 (18)
Ifnar	 	group	Activated	3.023	bias	6.73E-03	3.03E-02	Ccl2,CXCL10,IL1B,IRF1,Mx2,MYD88,NLRP3,STAT2,TLR2,TNF	86 (14)
RELA	 	transcription regulator	Activated	2.295	bias	6.83E-03	3.06E-02	Ccl2,CXCL10,CXCL2,CXCL3,HMOX1,ICAM1,IL1B,NFKBIA,SAA1,TLR2,TNF	131 (11)
Histone h4	 	group	 	 	 	6.83E-03	3.06E-02	CCNE1,CXCL10,HES1,IL1B,IRF1,SOCS3,STAT3,TNF	69 (9)
IL15	 	cytokine	Activated	2.030	bias	6.83E-03	3.06E-02	Ccl2,CCND1,CEBPB,CXCL2,IRF1,THPO,TNF,TNFRSF1A	149 (14)
SCARB1	 	transporter	Inhibited	-2.219	 	7.06E-03	3.15E-02	DDIT4,FBXO32,FOXO1,IL1B,TNF	128 (13)
IRF9	 	transcription regulator	 	 	 	7.06E-03	3.15E-02	GBP6,IRF1,SOCS3,STAT2,TNF	63 (8)
ACOX1	 	enzyme	 	-0.437	 	7.35E-03	3.19E-02	APCS,ETS2,G6PC,GADD45A,HSPA5,IGFBP1,LY6D,PDK4,PHLDA1,SGK1,SLC20A1,TRIB3,XBP1	48 (3)
PTEN	 	phosphatase	 	0.322	 	7.39E-03	3.19E-02	ATF3,Ccl2,CCND1,CCNE1,CEBPB,CELSR1,CXCL10,CXCL2,ETS2,ETV3,F3,FOXA2,FOXO1,FOXO3,GPR146,GPR17,IL1B,PIK3R1,PIM1,PITX3,PPARGC1A,SOCS3,STAT3,TNF,VEGFA,VHL	147 (18)
BPIFA1	 	other	 	 	 	7.41E-03	3.19E-02	CXCL2,CXCL3,IL1B	 
SRC (family)	 	group	 	 	 	7.41E-03	3.19E-02	BMP2,Ccl2,ICAM1	83 (6)
SLC51A	 	transporter	 	 	 	7.41E-03	3.19E-02	CYP2B6,CYP7A1,SLC10A2	 
NOD1	 	other	 	 	 	7.41E-03	3.19E-02	CXCL2,IL1B,TNF	56 (11)
TRPM2	 	ion channel	 	 	 	7.41E-03	3.19E-02	CXCL3,IL1B,TNF	124 (18)
TGIF1	 	transcription regulator	 	 	 	7.41E-03	3.19E-02	CXCL2,CXCL3,IL1B	 
NCF4	 	enzyme	 	 	 	7.41E-03	3.19E-02	IL1B,ST3GAL1,TNF	 
CXCR4	-1.682	G-protein coupled receptor	 	 	 	7.41E-03	3.19E-02	ID1,JUNB,VEGFA	 
BAP1	 	peptidase	 	 	 	7.41E-03	3.19E-02	Ccl2,CCN2,CXCL2	 
VLDLR	 	transporter	 	 	 	7.41E-03	3.19E-02	STAT3,TNF,TNFAIP3	 
IL18R1	 	transmembrane receptor	 	 	 	7.41E-03	3.19E-02	CCL3L3,SOCS3,TNF	123 (13)
HOXA4	 	transcription regulator	 	 	 	7.41E-03	3.19E-02	CCN2,CCND1,CCNE1	 
Igkv1-117	 	other	 	 	 	7.41E-03	3.19E-02	FOSL2,JUNB,RELB	 
KDR	 	kinase	 	 	 	7.41E-03	3.19E-02	Ccl2,CXCR4,VEGFA	 
MNT	 	transcription regulator	 	 	 	7.41E-03	3.19E-02	E2F2,ODC1,TNF	 
TLR6	 	transmembrane receptor	 	 	 	7.41E-03	3.19E-02	ATF3,IL1B,TNF	136 (18)
PARK7	 	enzyme	 	 	 	7.41E-03	3.19E-02	Ccl2,CCL3L3,IL1B	88 (9)
MPZ	 	other	 	 	 	7.63E-03	3.26E-02	ATF4,DERL3,HSPA5,ID2	 
PLK1	 	kinase	 	 	 	7.63E-03	3.26E-02	BOK,EEF1E1,IER3,PIK3R1	 
MYBL2	 	transcription regulator	 	 	 	7.63E-03	3.26E-02	CBX4,CCND1,CCNG2,ID1	 
TYK2	 	kinase	 	0.718	bias	7.63E-03	3.26E-02	DAXX,IL1B,IRF1,STAT3	121 (13)
Ige	 	complex	Activated	2.201	bias	8.19E-03	3.50E-02	Ccl2,CCL3L3,CXCL2,IL1B,TNF	145 (16)
HNF4A	0.619	transcription regulator	 	-0.319	 	8.20E-03	3.50E-02	ACOT1,ATP7A,CCND1,CYP7A1,FOXA2,G6PC,GJB2,GRHL1,HNF4A,HSPA5,OCLN,ONECUT1,PCK1,PDK4,PTPN12,RNF152,SBNO2,SH3PXD2A,SRSF3,SYBU,TFRC,XBP1,ZFP36	 
ABCA1	 	transporter	 	-1.638	 	8.36E-03	3.56E-02	Ccl2,CCL3L3,CXCL3,IL1B,MYD88,TNF	108 (15)
PPARD	 	ligand-dependent nuclear receptor	Inhibited	-2.268	 	8.51E-03	3.61E-02	ANGPTL4,Ccl2,CCL3L3,CCND1,CYP2B6,ICAM1,IL1B,INHBE,LPIN2,MFSD2A,MYCL,PDK4,PPARGC1A,SLC10A2,TNF	109 (13)
IFN Beta	 	group	 	0.823	 	8.55E-03	3.62E-02	Ccl2,CEBPD,CXCL10,IRF1,SERPINE1,STAT2,TNF	 
BTK	 	kinase	 	1.664	 	8.55E-03	3.62E-02	CCNE1,CEBPB,CXCL3,FOXO1,HMOX1,RELB,TNF	137 (18)
LCN2	 	transporter	Activated	2.162	 	8.90E-03	3.76E-02	Ccl2,CCL3L3,CXCL10,CXCL2,CXCL3,IL1B,PPARGC1A,TNF	125 (10)
LDLR	 	transporter	 	-1.822	 	9.14E-03	3.85E-02	ATP7A,BMP2,Ccl2,CCL3L3,CCND1,CTSC,CYP7A1,DUSP1,G6PC,HSPA5,ICAM1,IER3,IL1B,MID1IP1,PPARGC1A,RGS1,TNF	147 (17)
RNA polymerase II	 	complex	 	 	 	9.15E-03	3.85E-02	ALAS1,ARID5A,Cxcl11,CYP7A1,HNF4A,HSPA1A/HSPA1B,IL1B,KPNA2,NMD3,OSGIN1,PCK1,SOCS3	 
SAV1	 	other	 	 	 	9.22E-03	3.86E-02	CCN2,CCND1,CXCL2,TNF	84 (6)
PRMT5	 	enzyme	 	 	 	9.22E-03	3.86E-02	CCNE1,CYP7A1,G6PC,PPARGC1A	23 (4)
MAP2K3	 	kinase	 	1.934	bias	9.22E-03	3.86E-02	ICAM1,IL1B,SERPINE1,VEGFA	138 (15)
ACKR2	 	G-protein coupled receptor	Inhibited	-2.449	bias	9.37E-03	3.92E-02	ACOD1,CCL3L3,CXCL10,IL1B,STAT2,TNF	42 (5)
AGTR1	 	G-protein coupled receptor	 	1.000	 	9.42E-03	3.93E-02	DUSP1,HMOX1,SERPINE1,SGK1,TXNIP	 
Mapk	 	group	 	 	 	9.87E-03	4.04E-02	CCND1,PER2,TNF	 
CLEC10A	 	other	 	 	 	9.87E-03	4.04E-02	CXCL2,IL1B,TNF	 
PCK1	-2.019	kinase	 	 	 	9.87E-03	4.04E-02	IL1B,PCK1,TNF	 
MMP12	 	peptidase	 	 	 	9.87E-03	4.04E-02	ICAM1,NFKBIA,TNF	62 (7)
PIK3R2	 	kinase	 	 	 	9.87E-03	4.04E-02	CXCL10,FOXO1,PIK3R1	 
ODC1	0.594	enzyme	 	 	 	9.87E-03	4.04E-02	IL1B,SERPINE1,TNF	 
TNNI3	 	transporter	 	 	 	9.87E-03	4.04E-02	Ccl2,CCL3L3,CXCL3	 
SIRPA	 	phosphatase	 	 	 	9.87E-03	4.04E-02	Ccl2,CCL3L3,TNF	136 (17)
HTR7	 	G-protein coupled receptor	 	 	 	1.03E-02	4.04E-02	IL1B,TNF	 
PROM1	 	other	 	 	 	1.03E-02	4.04E-02	G6PC,PCK1	 
LRRC8E	 	ion channel	 	 	 	1.03E-02	4.04E-02	CXCL10,TNF	 
USE1	 	other	 	 	 	1.03E-02	4.04E-02	HSPA5,XBP1	 
Meg3	 	other	 	 	 	1.03E-02	4.04E-02	HES1,VEGFA	 
B3GNT2	 	enzyme	 	 	 	1.03E-02	4.04E-02	IL1B,TNF	 
SPATA2	 	other	 	 	 	1.03E-02	4.04E-02	IL1B,TNF	 
SLC22A3	 	transporter	 	 	 	1.03E-02	4.04E-02	S100A8,S100A9	 
FLT4	 	transmembrane receptor	 	 	 	1.03E-02	4.04E-02	IL1B,TNF	 
Cathepsin	 	group	 	 	 	1.03E-02	4.04E-02	CCND1,CCNE1	 
PARG	 	enzyme	 	 	 	1.03E-02	4.04E-02	IL1B,TNF	 
NAMPT	 	cytokine	 	 	 	1.03E-02	4.04E-02	CXCL10,CXCL2	 
MUC2	 	other	 	 	 	1.03E-02	4.04E-02	IL1B,TNF	 
miR-378a-3p (and other miRNAs w/seed CUGGACU)	 	mature microRNA	 	 	 	1.03E-02	4.04E-02	FOXO1,FOXO3	 
FGA	 	other	 	 	 	1.03E-02	4.04E-02	IL1B,TNF	 
GNAI3	 	enzyme	 	 	 	1.03E-02	4.04E-02	CCL3L3,TNF	 
EIF2AK1	 	kinase	 	 	 	1.03E-02	4.04E-02	IL1B,TNF	 
PPM1L	 	phosphatase	 	 	 	1.03E-02	4.04E-02	IL1B,TNF	 
A4GALT	 	enzyme	 	 	 	1.03E-02	4.04E-02	IRF1,TNF	 
CDK6	 	kinase	 	 	 	1.03E-02	4.04E-02	NFKBIZ,SOCS3	 
MMP8	 	peptidase	 	 	 	1.03E-02	4.04E-02	CCL3L3,CXCL10	 
TNFAIP8	 	other	 	 	 	1.03E-02	4.04E-02	CXCL3,IL1B	 
RND3	1.262	enzyme	 	 	 	1.03E-02	4.04E-02	HES1,VEGFA	 
HNRNPU	 	transporter	 	 	 	1.03E-02	4.04E-02	IL1B,TNF	 
PTGER3	 	G-protein coupled receptor	 	 	 	1.03E-02	4.04E-02	Ccl2,TNF	 
ELK3	 	transcription regulator	 	 	 	1.03E-02	4.04E-02	HMOX1,SERPINE1	 
RBCK1	 	transcription regulator	 	 	 	1.03E-02	4.04E-02	ICAM1,TNFAIP3	 
ADORA3	 	G-protein coupled receptor	 	 	 	1.03E-02	4.04E-02	IRF1,VEGFA	 
GLI3	 	transcription regulator	 	0.378	 	1.04E-02	4.06E-02	CCND1,DUSP1,FOXO1,IRF1,JUNB,NFKBIZ,TNFAIP3	 
HDAC3	 	transcription regulator	 	 	 	1.05E-02	4.08E-02	CXCL2,ICAM1,IL1B,NFKBIA,RELB,TNF	 
YAP1	 	transcription regulator	 	0.557	bias	1.05E-02	4.08E-02	ACTG1,CAVIN2,CCN2,CCND1,GADD45A,SERPINE1	 
HDAC4	 	transcription regulator	 	0.000	 	1.05E-02	4.08E-02	ATF3,ETNPPL,G6PC,HDAC5,IGFBP1,TNF	 
ABCG1	 	transporter	Inhibited	-2.230	bias	1.08E-02	4.18E-02	Ccl2,CCL3L3,CXCL3,IL1B,TNF	 
FHL2	 	transcription regulator	Inhibited	-2.207	 	1.08E-02	4.18E-02	Ccl2,CXCL10,OCLN,S1PR1,TNF	 
TNIP1	 	other	Inhibited	-2.200	 	1.08E-02	4.18E-02	CXCL2,CXCL3,IL1B,S100A8,S100A9	 
TP73	 	transcription regulator	 	-1.750	 	1.09E-02	4.20E-02	ANGPTL4,ATF3,CASP4,Ccl2,CXCL10,CXCL2,CXCL3,DDIT4,FOXO3,HSPB8,ID2,IL1B,LY6D,TNFAIP2,VEGFA	 
MED1	 	transcription regulator	 	0.447	 	1.10E-02	4.24E-02	CCND1,CCNE1,CYP2B6,CYP7A1,FOXO1,GADD45A,GCK,IGFBP1,TBX3	 
GDF9	 	growth factor	 	1.000	 	1.10E-02	4.25E-02	ID1,ID2,ID3,PTGER2	 
TNFRSF1B	-0.686	transmembrane receptor	 	1.865	 	1.14E-02	4.38E-02	APCS,CXCL2,ICAM1,SAA1,SERPINE1,SOCS3,SRC,TNF	 
SATB1	 	transcription regulator	 	-1.414	 	1.14E-02	4.38E-02	BLNK,ID3,MYCL,NR2C2,RELB,RIPK1,TAF4B,TNF	 
EGLN	 	group	 	-1.380	bias	1.23E-02	4.74E-02	A1BG,Ccl2,IGFBP1,PPP1R3G,S100A9,SAA1,SERPINE1,VEGFA	 
IL33	 	cytokine	 	1.673	bias	1.26E-02	4.79E-02	Ccl2,CCND1,CXCL2,IL1B,NLRP3,RGS1,S100A8,S100A9,TNF	 
PFKFB3	 	kinase	 	 	 	1.27E-02	4.79E-02	ICAM1,IL1B,TNF	 
mir-127	 	microRNA	 	 	 	1.27E-02	4.79E-02	DUSP1,IL1B,TNF	 
ATG16L1	 	enzyme	 	 	 	1.27E-02	4.79E-02	CXCL2,IL1B,NFKBIA	 
BGN	 	other	 	 	 	1.27E-02	4.79E-02	CCND1,IL1B,TNF	 
PLA2G4A	 	enzyme	 	 	 	1.27E-02	4.79E-02	Ccl2,ICAM1,TNF	 
RPS6KA4	 	kinase	 	 	 	1.27E-02	4.79E-02	DUSP1,JUNB,TNF	 
RIPK3	 	kinase	 	 	 	1.27E-02	4.79E-02	Ccl2,IL1B,TNF	 
MAS1	 	G-protein coupled receptor	 	 	 	1.27E-02	4.79E-02	Ccl2,IL1B,TNF	 
MOGAT1	 	enzyme	 	 	 	1.27E-02	4.79E-02	ANGPTL4,Ccl2,CXCL10	 
CNOT3	 	other	 	 	 	1.27E-02	4.79E-02	IGFBP1,PDK4,PPARGC1A	 
PLAT	 	peptidase	 	 	 	1.27E-02	4.79E-02	IL1B,SERPINE1,TNF	 
FLT3	 	kinase	 	 	 	1.27E-02	4.79E-02	CEBPB,CXCL10,TNF	 
CGAS	 	enzyme	 	1.960	bias	1.30E-02	4.84E-02	CXCL10,IL1B,Mx2,TNF	 
MGP	 	other	Inhibited	-2.000	 	1.30E-02	4.84E-02	FOXA3,GATA4,HNF4A,PRTN3	 
MTM1	 	phosphatase	 	-0.882	bias	1.30E-02	4.84E-02	FBXO32,FOXO3,GTF2H1,STAT3	 
GNAI2	 	enzyme	 	0.762	 	1.30E-02	4.84E-02	CCL3L3,CXCL3,CXCR4,TNF	 
PTPRC	 	phosphatase	 	-1.067	 	1.30E-02	4.84E-02	CCL3L3,CCND1,IL1B,TNF	 
PDPK1	 	kinase	 	 	 	1.30E-02	4.84E-02	FOXO1,FOXO3,S1PR1,TNF	 
Gm21596/Hmgb1	 	transcription regulator	 	1.106	bias	1.30E-02	4.84E-02	CXCL3,CXCR4,IL1B,TNF	 
PRDM1	 	transcription regulator	 	-1.211	 	1.36E-02	5.03E-02	Ccl2,CXCL2,CXCL3,ID2,IL1B,PROX1,SLC16A5,TNF,XBP1	 
IL22	 	cytokine	 	-0.943	 	1.36E-02	5.03E-02	CCL3L3,CXCL10,CXCL2,CXCL3,HSPA5,IL1B,SAA1	 
CD274	 	enzyme	 	-1.342	 	1.39E-02	5.14E-02	ATF4,CCL3L3,CXCL2,ICAM1,TNF	 
LEP	 	growth factor	Activated	3.083	 	1.44E-02	5.33E-02	ANGPTL4,Ccl2,CCL3L3,CCND1,CXCL10,CYP7A1,F3,G6PC,ICAM1,IL1B,MLX,PPARGC1A,PTPN1,SERPINE1,SOCS3,STAT3,STEAP4,TNF,VEGFA	 
C1QA	 	other	 	1.998	 	1.52E-02	5.58E-02	Ccl2,CXCL10,STAT3,TNF	 
KLF6	 	transcription regulator	 	1.969	 	1.52E-02	5.58E-02	Ccl2,CCL3L3,IL1B,TNF	 
PRNP	 	other	 	 	 	1.52E-02	5.58E-02	ATF4,EIF2S1,IL1B,TNF	 
CCR1	 	G-protein coupled receptor	 	0.152	 	1.52E-02	5.58E-02	ATF4,Ccl2,CCL3L3,TNF	 
COP1	 	enzyme	 	-1.192	bias	1.52E-02	5.58E-02	ACOD1,CEBPB,CXCL10,CXCL3	 
Pka	 	complex	 	0.988	 	1.57E-02	5.72E-02	CXCL10,DUSP1,FOXA2,IRF1,TNF	 
THRAP3	 	transcription regulator	 	 	 	1.61E-02	5.72E-02	Cd24a,DDX17,TXNIP	 
RYR2	 	ion channel	 	 	 	1.61E-02	5.72E-02	FOXO1,PCK1,PPARGC1A	 
ITGA5	 	transmembrane receptor	 	 	 	1.61E-02	5.72E-02	CEBPB,IL1B,TNF	 
PLCG2	 	enzyme	 	 	 	1.61E-02	5.72E-02	FOXO1,THPO,TNF	 
STK3	 	kinase	 	 	 	1.61E-02	5.72E-02	CCN2,CCND1,TNF	 
MAPKAP1	 	other	 	 	 	1.61E-02	5.72E-02	CXCL10,CXCR4,DAXX	 
DOCK2	 	other	 	 	 	1.61E-02	5.72E-02	Ccl2,PPARGC1A,TNF	 
B4GALNT1	 	enzyme	 	 	 	1.61E-02	5.72E-02	IL1B,TNF,VEGFA	 
CLU	 	other	 	 	 	1.61E-02	5.72E-02	IL1B,NFKBIA,TNF	 
PLA2G2E	 	enzyme	 	 	 	1.61E-02	5.72E-02	IL1B,S100A9,SERPINE1	 
