© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
Irgm1	 	other	Inhibited	-2.801	1.21E-03	1.22E-02	Apol9a/Apol9b,Ccl2,CXCL10,Cxcl11,CXCL13,GBP5,GBP6,ID2,ID3,IL1B,IRF1,IRF9,LILRB4,Mx2,TK1,TLR2,TNF,USP18	244 (15)
CTNNB1	 	transcription regulator	 	-1.954	1.22E-03	1.22E-02	ABCF3,ACAA1,ACAT2,ATM,CA3,CCN2,CCNE1,CDH1,CEBPA,CELSR1,CIDEC,CYP1A1,CYP1A2,CYP4F12,DIXDC1,ELOVL3,F2R,FOXA2,FZD7,G6PC,GALM,GCK,GHR,Gulo,HADHA,HES1,HHEX,HMGCS1,Hsd3b4 (includes others),ID2,IGFBP5,IL1B,LAMB1,LECT2,LIMD2,MMP15,MOGAT1,MYC,MYCN,NCAM1,NR6A1,OAT,ONECUT2,PCK1,RGN,S100A8,Saa3,SESN1,SGK1,SLC39A14,Slco1a1,SMAD6,SOX5,SRFBP1,SYK,TNFRSF1B	281 (10)
GRN	0.692	growth factor	 	-1.301	1.25E-03	1.24E-02	CASP3,Ccl2,CXCL2,GRN,IL1B,TNF,XBP1	189 (14)
NFKBIA	 	transcription regulator	 	1.673	1.27E-03	1.26E-02	Ccl2,CCL3L3,CXCL2,CXCL3,HES1,ICAM1,IL1A,IL1B,LRIG1,S100A8,S100A9,TAT,TLR2,TNF	266 (9)
PCK1	-1.945	kinase	Inhibited	-2.000	1.30E-03	1.27E-02	ACADM,EHHADH,IL1B,PCK1,TNF	 
PDE3B	 	enzyme	 	 	1.30E-03	1.27E-02	G6PC,SERPINE1,SOCS3,TNF,TRIB3	101 (4)
CRY2	 	enzyme	 	1.400	1.30E-03	1.27E-02	IL1B,PCK1,PER1,PER2,SGK1	27 (2)
ST8SIA1	 	enzyme	Inhibited	-2.201	1.30E-03	1.27E-02	C3AR1,C5AR1,IL1A,IL1B,TNF	99 (4)
PTPN1	0.543	phosphatase	 	0.194	1.30E-03	1.27E-02	ADRA1B,ARID5A,ATM,Cxcl11,CXCL2,CXCL3,DUSP1,HHEX,IRS1,NOX4,TNF	394 (19)
PTX3	 	other	 	-1.195	1.35E-03	1.30E-02	Ccl2,CCL3L3,CCN2,CXCL2,GATA4,IL1B,TLR2,TNF	303 (14)
IRAK3	 	kinase	 	0.106	1.35E-03	1.30E-02	BCL2A1,Ccl2,CCN2,CXCL2,CXCL3,ETS2,TNF,TNFAIP3	294 (13)
PLK4	 	kinase	 	0.000	1.35E-03	1.30E-02	ATM,CITED2,CXCL10,Cxcl11,IL1B,IRF1,Mx2,RBL1	60 (3)
MSR1	 	transmembrane receptor	 	-0.235	1.40E-03	1.33E-02	ACOD1,CXCL10,CXCL2,CXCL3,IL1B,TNF	177 (11)
LAMA5	 	other	 	1.455	1.40E-03	1.33E-02	Ccl2,CCL3L3,CXCL10,CXCL3,TNF,TNFRSF1B	 
ONECUT1	2.364	transcription regulator	 	 	1.40E-03	1.33E-02	CYP7A1,FOXA2,G6PC,HNF4A,ONECUT1,SLC2A2	 
SDC1	 	enzyme	 	-1.131	1.46E-03	1.38E-02	Ccl2,CXCL2,CXCL3,TGM2	82 (7)
ST14	 	peptidase	 	1.981	1.46E-03	1.38E-02	CXCL2,ICAM1,IL1B,TNF	 
FAS	 	transmembrane receptor	 	0.976	1.48E-03	1.39E-02	Ccl2,CCL3L3,CCN2,COL3A1,CSF1,CXCL10,CXCL2,CXCL3,ICAM1,IL18,IL1B,SERPINE1,TNF,TNFRSF1A	285 (15)
TAF4	 	transcription regulator	 	-0.913	1.52E-03	1.43E-02	BCL6,CARMIL1,CCN2,CDH1,CLDN1,EHF,FOXA2,GAS2,GAS5,GJB2,ID2,IL1RN,MAP3K6,PDGFA,SOCS5,Tchh,TGM1	 
JUNB	2.528	transcription regulator	 	-0.128	1.58E-03	1.48E-02	ACLY,ATF3,C3AR1,C5AR1,CCL3L3,CXCL2,CXCL3,ITGB3,LCN2,PNPLA2,SYT1,TNF	115 (7)
AGER	 	transmembrane receptor	Activated	2.785	1.65E-03	1.54E-02	Ccl2,CCL3L3,CXCL3,IL1B,S100A8,S100A9,SERPINE1,TNF,VEGFA	328 (16)
TBK1	 	kinase	 	1.010	1.67E-03	1.55E-02	ACOD1,ATM,CCL3L3,CXCL10,Cxcl11,CXCL2,CXCL3,ICAM1,IL18,IL1A,Mx2,NFKBIZ,RBL1,TLR2,TNF,USP18	301 (15)
NLRP12	 	other	Inhibited	-2.646	1.70E-03	1.57E-02	BCL3,CXCL2,ICAM1,IL1B,IL1RN,MAP3K14,TNF	264 (13)
DOCK8	-0.832	other	 	1.069	1.71E-03	1.58E-02	ARID5A,ATM,CITED2,CXCL10,Cxcl11,IL18,IRF1,Mx2,NFKBIZ,PELI1,RBL1,REL,STAT2,TNF	 
SLC13A1	 	transporter	 	-1.698	1.72E-03	1.58E-02	ACLY,ACTG1,APOA4,AQP8,ARRDC2,BYSL,Cyp3a25 (includes others),FABP2,HSPA8,HSPB1,IGFBP2,INMT,INSIG1,ITIH3,NRN1,PCK1,XBP1	 
KRAS	 	enzyme	 	 	1.74E-03	1.58E-02	ACLY,ADH4,BCL2A1,CDH1,CEBPB,CSF3R,HEXIM1,IKBKB,IL1B,LDHA,MTRR,MYC,MYCN,NFKB2,NLRP3,NOS3,PEG3,PFKL,POR,SLC2A1,SREBF1,STAT3,TLR2,TNF,TXNIP	246 (18)
Fcer1	 	complex	Activated	2.210	1.75E-03	1.58E-02	ATP2A2,BCL2A1,Ccl2,CCL3L3,Ccl9,CSF1,EIF6,TNF	270 (12)
CASP1	 	peptidase	 	0.504	1.75E-03	1.58E-02	Ccl2,CDH1,CXCL2,IL18,IL1A,IL1B,SREBF1,TNF	171 (14)
SOST	 	other	 	0.933	1.75E-03	1.58E-02	Ccl2,CCL3L3,CEBPA,HADHA,IL1B,MOGAT1,NOX4,SREBF1	 
Jnk	 	group	 	0.876	1.81E-03	1.63E-02	CCNE1,CDH1,COL3A1,CXCL3,DUSP1,HNF4A,IL1A,IL1B,KLF6,RARG,SOCS3,TGM2,TNF	336 (18)
TRAF3IP2	 	enzyme	Activated	2.178	1.81E-03	1.63E-02	Ccl2,CCN2,COL3A1,CSF1,CXCL2,CXCL3,ICAM1,IL18,IL1B,LCN2,NFKBIZ,STEAP4,TNF	327 (14)
ABCB6	 	transporter	 	-1.739	1.82E-03	1.63E-02	CYP1A1,CYP1A2,Cyp2a12/Cyp2a22,Cyp2c23,Cyp2c54 (includes others),CYP2R1,Cyp3a25 (includes others),CYP4A11,CYP4B1,SLC25A51	 
CASP8	 	peptidase	 	-0.857	1.82E-03	1.63E-02	CCL3L3,CSF1,CXCL10,Cxcl11,IL18,IL1A,IL1B,NLRP3,S100A9,TNF	154 (12)
SCD	 	enzyme	 	0.179	1.87E-03	1.66E-02	ANGPTL4,Ccl2,CCL3L3,CXCL10,IL1B,PDK4,PNPLA2,PTPN1,SLC27A1,SLC2A1,SREBF1,TNF	270 (14)
BTK	 	kinase	Activated	2.173	1.87E-03	1.66E-02	BCL2A1,CCNE1,CDK2,CEBPA,CEBPB,CXCL3,FOXO1,HMOX1,ITGB3,NFKB2,RELB,TNF	365 (19)
Ccl2	4.009	cytokine	Activated	2.764	1.87E-03	1.66E-02	Ccl2,CCL3L3,Ccl9,CD14,CSF1,CXCL10,CXCL2,CXCL3,IL1B,ITGB3,TBX3,TNF	291 (13)
HOXA3	 	transcription regulator	 	-0.905	1.89E-03	1.66E-02	CCL3L3,CEBPB,EGFL7,FAT4,IL17RA,NR2F2,PLEK,PRKCD,PRTN3,SHANK2,TNFRSF1B	 
PTPRJ	 	phosphatase	Activated	2.111	1.89E-03	1.66E-02	ARID5A,CCL3L3,CITED2,Cxcl11,CXCL2,CXCL3,IL18,IL1A,Mx2,NFKBIZ,TNF	213 (11)
MRTFA	 	transcription regulator	 	0.159	1.91E-03	1.67E-02	ACTG1,CAVIN2,CBFB,CCN2,ELOVL3,F2R,GADD45A,ICAM1,LCN2,LILRB4,MYL9,PRTN3,S100A8,S100A9,Saa3,SELE,SERPINE1,SLC20A1,SRF,Tpm4	 
MIR17HG	 	other	 	0.433	1.94E-03	1.70E-02	ATM,ATP7A,CCNE1,CELSR1,DLL1,FRAS1,IKZF4,MAP3K1,MYCN,PDGFRA,PTPRK,RECK,RNF111,SMAD6,SORT1,TBX3,TOB2,TRIP11,ZNRF3	 
Map3k7	 	kinase	 	0.978	1.97E-03	1.72E-02	CASP3,Ccl2,CCL3L3,CXCL10,Cxcl11,CXCL3,IL1B,MVK,Mx2,NFKBIZ,PROM1,S100A9,SESN1,TNF	189 (12)
ICAM1	2.581	transmembrane receptor	Activated	2.186	2.01E-03	1.72E-02	CXCL2,ICAM1,IL1B,SREBF1,TNF,VEGFA	218 (13)
SAA1	4.865	transporter	Activated	2.425	2.01E-03	1.72E-02	Ccl2,CCL3L3,CXCL10,IL1B,S100A8,S100A9	159 (10)
MAPKAPK3	 	kinase	 	0.765	2.01E-03	1.72E-02	CCL3L3,CXCL2,CXCL3,HSPB1,HSPB8,TNF	218 (8)
ACE2	 	peptidase	 	-1.633	2.01E-03	1.72E-02	CASP3,Ccl2,CXCL3,IL1B,SERPINE1,TNF	212 (8)
SCP2	 	transporter	 	-1.633	2.01E-03	1.72E-02	ACAA1,AKR1C4,CYP7A1,PCK1,PDZK1IP1,Slco1a1	 
SOCS3	4.214	phosphatase	 	0.763	2.06E-03	1.74E-02	Ccl2,CXCL10,G6PC,IL1B,IRS1,Mx2,PCK1,SOCS3,TNF	262 (18)
PAK2	 	kinase	 	-1.000	2.06E-03	1.74E-02	CKB,DUSP1,GADD45A,H3C8,ID3,IGFBP5,NOX4,PLAUR,PROX1	 
NRG4	1.124	growth factor	 	-0.994	2.08E-03	1.74E-02	CIDEC,EHHADH,ELOVL5,GCK,SREBF1	 
mir-146	 	microRNA	Inhibited	-2.114	2.08E-03	1.74E-02	Ccl2,IL1B,MYC,MYD88,TNF	323 (14)
PLA2G4A	 	enzyme	 	1.109	2.08E-03	1.74E-02	Ccl2,ICAM1,KRT18,MYC,TNF	266 (10)
RIPK3	 	kinase	 	1.317	2.08E-03	1.74E-02	Ccl2,IL18,IL1A,IL1B,TNF	160 (12)
MAS1	 	G-protein coupled receptor	 	-0.911	2.08E-03	1.74E-02	Ccl2,Chil3/Chil4,IL1B,NOS3,TNF	 
SOCS1	 	other	Inhibited	-3.223	2.09E-03	1.75E-02	ACOD1,Chil3/Chil4,CISH,CXCL10,DUSP1,FKBP5,GBP5,GBP6,IL1B,IRF1,Mx2,SELE,SOCS3,TNF,USP18	276 (15)
MET	 	kinase	 	1.432	2.15E-03	1.78E-02	ARID5A,ATM,BMF,CCL3L3,CDH1,CITED2,CLDN1,Cxcl11,GCLC,Hspa1b,IL18,MYC,NFKBIZ,NOX4,ONECUT2,SOCS3	128 (6)
RGS10	 	enzyme	 	 	2.20E-03	1.78E-02	BCL6,CCL3L3,Chil3/Chil4,CXCL10,Cxcl11,CXCL2,IL18,IL1A,IL1B,TNF,TNFRSF1A,TNFRSF1B	213 (15)
HRH3	 	G-protein coupled receptor	Inhibited	-2.213	2.21E-03	1.78E-02	Acot1,ACOT2,CXCL10,CXCL3,FPR2,PCOLCE2,PRTN3,S100A8,S100A9,SERPINA3	 
IRF9	0.846	transcription regulator	Inhibited	-2.169	2.23E-03	1.78E-02	CDH1,GBP6,IL18,IL1A,IRF1,SOCS3,STAT2,TNF	116 (7)
ATF2	 	transcription regulator	 	1.987	2.23E-03	1.78E-02	ARNT,ATF3,DUSP1,DUSP5,GADD45A,MAPK14,PDGFRA,TNF	 
FAM3B	 	cytokine	 	 	2.26E-03	1.78E-02	CASP4,CCN4,GAS2,IER3,KRT19,LCN2,LDHA	 
KLF6	0.731	transcription regulator	 	1.969	2.26E-03	1.78E-02	BCL6,Ccl2,CCL3L3,Chil3/Chil4,IL1A,IL1B,TNF	 
SRD5A1	-0.772	enzyme	 	-1.633	2.26E-03	1.78E-02	CLDN1,G6PC,IRS1,LCN2,PCK1,PNPLA2,SREBF1	 
COP1	 	enzyme	 	-1.992	2.26E-03	1.78E-02	ACOD1,CEBPB,CXCL10,CXCL3,FPR1,FPR2,Saa3	 
PROM1	-0.911	other	 	 	2.28E-03	1.78E-02	G6PC,PCK1,PFKL	 
Carlr	 	other	 	 	2.28E-03	1.78E-02	IL1A,IL1B,NFKB2	 
B3GNT2	 	enzyme	 	 	2.28E-03	1.78E-02	CD14,IL1B,TNF	274 (10)
IKBIP	 	other	 	 	2.28E-03	1.78E-02	CXCL2,NFKBIZ,TNF	301 (13)
RNF152	-1.562	enzyme	 	 	2.28E-03	1.78E-02	CXCL10,IL1B,TNF	 
MCOLN2	 	ion channel	 	 	2.28E-03	1.78E-02	Ccl2,CCL3L3,CXCL3	 
miR-130a-3p (and other miRNAs w/seed AGUGCAA)	 	mature microRNA	 	 	2.28E-03	1.78E-02	CXCL2,CXCL3,TNF	164 (10)
STRN	 	other	 	 	2.28E-03	1.78E-02	NOS3,NR3C2,SGK1	 
LUM	 	other	 	 	2.28E-03	1.78E-02	CXCL2,IL1B,TNF	 
CYP8B1	 	enzyme	 	 	2.28E-03	1.78E-02	ABCG5,ABCG8,CYP7A1	 
RUVBL1	 	transcription regulator	 	 	2.28E-03	1.78E-02	PSMA7,PSMC4,PSMD12	 
FGF19	 	growth factor	 	 	2.28E-03	1.78E-02	ABCG5,ABCG8,CYP7A1	 
PELI2	 	enzyme	 	 	2.28E-03	1.78E-02	CXCL2,IL1B,TNF	262 (12)
CSF2	 	cytokine	 	1.751	2.38E-03	1.86E-02	BCL2A1,Ccl2,CCL3L3,CCNF,CD14,CISH,CXCL10,Cxcl11,E2F8,EFEMP2,ICAM1,IDO2,IL1B,ITGB5,LDHA,MYC,NDST1,OSMR,Saa3,SLC2A1,SREBF1,STEAP3,TGM2,TLR2,TNF,TNFRSF1A,TNFRSF1B	266 (16)
STAT5a/b	 	group	 	1.195	2.67E-03	2.07E-02	BCL6,CAVIN2,Chil3/Chil4,CISH,DUSP1,F2R,ID2,IL1A,PIM1,SOCS3,Tmsb4x (includes others)	161 (9)
PNPLA2	0.640	enzyme	 	0.036	2.67E-03	2.07E-02	ACADM,Acot1,ACOT2,Ccl2,CEBPA,Gstm3,IRS1,PDK4,PNPLA2,SREBF1,TNF	262 (15)
GPR84	 	G-protein coupled receptor	Activated	2.000	2.73E-03	2.07E-02	Ccl2,CCL3L3,IL1B,TNF	216 (7)
PPT1	 	enzyme	Inhibited	-2.000	2.73E-03	2.07E-02	Ccl2,CXCL10,CXCL3,TNF	 
APBA3	0.677	transporter	 	1.177	2.73E-03	2.07E-02	SELE,SLC2A1,TNF,VEGFA	 
GLRX	 	enzyme	 	-0.152	2.73E-03	2.07E-02	CXCL2,CXCL3,PDGFA,VEGFA	195 (6)
CD5L	 	transmembrane receptor	 	-1.732	2.73E-03	2.07E-02	Ccl2,IL1B,TLR2,TNF	110 (9)
PLCE1	 	enzyme	 	1.969	2.73E-03	2.07E-02	Ccl2,CXCL2,CXCL3,TNF	170 (10)
MVP	 	other	 	1.959	2.73E-03	2.07E-02	CXCL2,CXCL3,IL1B,TNF	 
TP73	 	transcription regulator	 	-1.697	2.80E-03	2.10E-02	ANGPTL4,ARL5C,ATF3,CASP4,Ccl2,Ccl9,CD83,CXCL10,CXCL2,CXCL3,DDIT4,FGFR2,FOXO3,GRN,HSPB8,ID2,IL1B,LRG1,MAPK14,NRP1,PDGFA,RNF144B,SERPINA3,SRF,TNFAIP2,ULK2,VEGFA	71 (4)
FABP4	 	transporter	 	1.766	2.80E-03	2.10E-02	Ccl2,IL1A,IL1B,NOS3,SOCS3,TNF	225 (15)
ARRB1	 	transcription regulator	 	 	2.80E-03	2.10E-02	Ccl2,F3,JUNB,MYC,SERPINE1,TNF	252 (15)
COMMD1	-0.443	transporter	 	-0.816	2.80E-03	2.10E-02	ALDOA,DDIT4,KRT19,LDHA,TFRC,VEGFA	 
CXCR2	 	G-protein coupled receptor	 	-0.186	2.80E-03	2.10E-02	Ccl2,CCL3L3,CXCL10,CXCL2,CXCL3,TNF	151 (10)
BSCL2	 	other	 	 	2.82E-03	2.10E-02	AATK,Ccl2,CEBPA,CIDEC,CYFIP2,GCK,IER3,IGFBP5,MGLL,MOGAT1,PNPLA2,PYGL,SUCNR1	 
Ige	 	complex	Activated	2.184	2.82E-03	2.10E-02	Ccl2,CCL3L3,Ccl9,CXCL2,IL1A,IL1B,MYC,TNF	338 (18)
BCL3	3.538	transcription regulator	Inhibited	-2.776	2.82E-03	2.10E-02	CXCL10,CXCL2,CXCL3,DUSP5,ICAM1,IL1A,IL1B,TNF	349 (16)
Ciap	 	group	 	-1.673	2.96E-03	2.17E-02	Ccl2,CCL3L3,CXCL2,IL1A,IL1B,MYC,TNF	269 (12)
BCL2L11	 	other	 	-1.964	2.96E-03	2.17E-02	CASP3,Ccl2,CCL3L3,CXCL2,HDAC9,IL1B,TNF	193 (13)
GLI1	 	transcription regulator	Activated	2.000	2.96E-03	2.17E-02	BCL2A1,Ccl2,CSF1,MYCN,PIM1,SOCS2,SOCS3	 
CD14	2.351	transmembrane receptor	Activated	2.183	2.96E-03	2.17E-02	Ccl2,CCL3L3,CISH,CXCL2,IL1B,SOCS3,TNF	246 (11)
HSD17B4	 	enzyme	 	-1.195	2.96E-03	2.17E-02	ACAA1,ACOT2,CYP4A11,Cyp4a14,LPCAT3,MGLL,PDK4	 
CYBB	 	enzyme	 	0.816	2.96E-03	2.17E-02	Ccl2,CCN2,COL3A1,CXCL10,CXCL3,IL1B,TNF	380 (19)
PSEN2	-0.594	peptidase	 	0.671	3.06E-03	2.23E-02	ATP2A2,C3AR1,CASP3,DLL1,F2R,FBXW7,FOXO3,GAS5,IMPACT,PDGFRA,PTPRF,SLC38A2,SNAPC3,STAB1,UEVLD	 
NR4A1	 	ligand-dependent nuclear receptor	 	0.475	3.06E-03	2.23E-02	ACLY,ACO1,ACO2,CEBPA,CSF1,DLST,EHF,G6PC,GALM,GCK,HMOX1,IKZF4,IL1B,KRT18,LY6E,MARCKSL1,MMP8,NDUFS6,NOL3,NUCB2,OGDH,PCK1,PDK4,PFKL,PPA1,RPS6KA1,SERPINE1,SREBF1,TNF	279 (10)
ELANE	 	peptidase	 	1.982	3.14E-03	2.27E-02	CCL3L3,CSF3R,CXCL2,IL1B,TNF	132 (8)
SERPINE1	5.314	other	 	-0.426	3.14E-03	2.27E-02	Acot1,ALDH8A1,BCL6,CASP3,CXCL2,DUSP1,IER3,ITGB3,JUNB,PHLDA1,Zfp68	 
IL18	-1.023	cytokine	 	1.828	3.14E-03	2.27E-02	Ccl2,CCL3L3,CXCL10,CXCL3,ICAM1,IL18,IL1A,IL1B,TAB2,TNF,VEGFA	346 (17)
AKT1	 	kinase	 	0.306	3.19E-03	2.30E-02	CXCL10,GCLC,GSTA5,HMOX1,KLF15,LCN2,NFKB2,PDGFRA,SLC2A1,SRF	 
Rxr	 	group	 	 	3.53E-03	2.52E-02	GAS2,IL1A,IL1B,KDM6B,MYC,Neat1,PDGFA,SREBF1	 
SLC22A5	 	transporter	 	-1.414	3.53E-03	2.52E-02	ACADM,ACVRL1,COL3A1,HADHB,ITGB5,JUNB,SMURF1,TNF	 
LRP5	 	transmembrane receptor	 	-1.328	3.53E-03	2.52E-02	AHR,FOXA2,GCK,HNF4A,IL1B,IRS1,SLC2A2,TNF	204 (8)
CD38	 	enzyme	 	-0.315	3.59E-03	2.55E-02	ALDOA,BCL6,CCNE1,CISH,CITED2,DENND11,ELL2,EVI5,GCAT,GSTT2/GSTT2B,IL6R,NABP1,NDRG1,PFKL,PIM1,PRDX4,SLC2A1,SLC39A8,SOCS2,SOCS3,TMEM97,XBP1,ZBTB32	 
RXRA	 	ligand-dependent nuclear receptor	 	-1.534	3.74E-03	2.66E-02	ACADM,Ccl9,CEBPA,COLEC12,CXCL10,CYP1A2,CYP4A11,CYP7A1,GCLC,IL1A,IL1B,LCN2,PDGFA,S100A8,SLC16A2,SREBF1,TNF,WEE1	64 (4)
ABCB4	 	transporter	 	-1.255	3.77E-03	2.66E-02	Ccl2,CCN2,CXCL10,ELF3,NFKB2,NOX4,PDGFA,PROM1,SERPINE1	 
PRKCA	-0.734	kinase	Activated	2.446	3.80E-03	2.66E-02	CXCL2,CXCL3,PRKCD,S100A8,S100A9,TNF	250 (16)
IL1RN	1.761	cytokine	 	-1.145	3.80E-03	2.66E-02	CYP1A2,CYP7A1,IL1A,IL1B,NR0B2,TNF	72 (6)
CD300LF	 	other	 	-1.890	3.82E-03	2.66E-02	ACSS2,IDH1,IL1A,IL1B,IL1RN,SLC27A1,SLC2A1	57 (4)
ZC3H12A	 	enzyme	 	-1.309	3.82E-03	2.66E-02	Ccl2,CEBPA,CEBPB,IL1B,REL,TNF,TNFRSF1B	254 (15)
LTB4R	 	G-protein coupled receptor	 	1.890	3.82E-03	2.66E-02	Ccl2,CCL3L3,CXCL3,PTPN1,SREBF1,TNF,VEGFA	172 (12)
CBL	 	transcription regulator	Inhibited	-2.579	3.82E-03	2.66E-02	CCL3L3,CXCL2,CXCL3,HMOX1,IL17RA,IL1B,TNF	237 (18)
ERN1	-0.456	kinase	 	1.425	3.90E-03	2.71E-02	ATF3,ATP2A2,CEBPB,CYP1A2,ERO1B,ERP44,G6PC,IL1B,MORF4L2,SEC11A,SLC20A1,SSR3,TNF,TXNDC5,XBP1	232 (5)
NR1H3	 	ligand-dependent nuclear receptor	Inhibited	-2.220	4.09E-03	2.84E-02	ABCA2,ABCG5,ABCG8,APCS,ARG2,ATF3,Ccl2,CCL3L3,CXCL10,Cxcl11,CXCL2,CYP7A1,CYTH1,DHRS9,FDPS,FPR1,FPR2,G6PC,GCK,Gsta4,GSTA5,IL1B,IL1RN,ITGB3,MYLIP,SLC16A2,SREBF1,TNF,TRIB1	313 (16)
RRP1B	0.827	transcription regulator	 	 	4.26E-03	2.94E-02	CCNE1,CEBPB,DHFR,FOXO1,FZD6,GADD45A,HDAC11,HSP90AA1,HSP90AB1,ITGB5,NCOA2,PRKCA,PRKCD,RARG,RBL1,RPA1,SMAD6	 
NFKB1	 	transcription regulator	 	1.836	4.26E-03	2.94E-02	Ccl2,CCL3L3,CEBPA,Chil3/Chil4,CSF1,CXCL10,CXCL3,GADD45A,HMOX1,ICOSLG/LOC102723996,IKBKB,IL1B,IRF1,MAP3K8,MYC,TLR2,TNF	380 (17)
NOS3	1.370	enzyme	 	-0.883	4.36E-03	2.99E-02	Ccl2,CCN2,COL3A1,CXCL3,F3,ICAM1,NOS3,TNF	239 (17)
TNIP1	0.886	other	Inhibited	-2.789	4.36E-03	2.99E-02	CXCL2,CXCL3,IL1B,LCN2,MMP8,S100A8,S100A9,Saa3	 
IL-1R	 	group	 	1.214	4.55E-03	3.04E-02	COL3A1,CXCL2,IL1A,IL1B,TNF	324 (17)
PHLPP1	 	enzyme	 	-0.447	4.55E-03	3.04E-02	CXCL2,CXCL3,FOXO1,IL18,IRS1	133 (7)
RETN	 	other	 	1.154	4.55E-03	3.04E-02	G6PC,MYC,SOCS3,STAT3,TNF	 
C5AR2	 	G-protein coupled receptor	 	-1.186	4.55E-03	3.04E-02	ATP2A2,Ccl2,CXCL2,CXCL3,IL1B	156 (13)
TRIM21	 	enzyme	 	-1.432	4.55E-03	3.04E-02	CXCL10,GCLC,HMOX1,IL1B,TNF	42 (3)
LDL	 	complex	 	 	4.58E-03	3.04E-02	Ccl2,ICAM1,IL1B,TLR2	 
OLFM4	 	other	 	-1.980	4.58E-03	3.04E-02	Ccl2,CCL3L3,IL1B,TNF	 
CCDC88A	 	other	 	-1.964	4.58E-03	3.04E-02	CXCL3,IL1A,IL1B,TNF	296 (12)
PPP1R15B	 	phosphatase	 	1.000	4.58E-03	3.04E-02	CEBPG,CHAC1,SESN2,TRIB3	 
SELE	3.483	transmembrane receptor	 	0.105	4.58E-03	3.04E-02	Ccl2,CCL3L3,IL1B,TNF	317 (17)
HSPA9	 	other	 	-1.000	4.58E-03	3.04E-02	FOXO1,HES1,MYC,SESN2	 
NLRC4	 	other	 	 	4.58E-03	3.04E-02	CXCL2,CXCL3,IL18,IL1B	169 (13)
CTTN	 	other	 	1.982	4.58E-03	3.04E-02	Ccl2,CXCL2,IL1B,TNF	 
SMARCA5	 	transcription regulator	 	-0.804	4.61E-03	3.06E-02	AHR,ATP8B4,BCL6,BET1,CDH1,CELSR1,EPHA2,ETS2,FKBP5,GBP6,GM2A,HES1,LYN,NLN,OSGIN1,PHLDA1,Pmaip1,TIFA,ZNF442,ZNF616	 
CYP1A1	-1.123	enzyme	 	1.732	4.85E-03	3.20E-02	DAG1,ETHE1,GSTM2,Gstm3,IGFBP2,KRT19,MID1,ODC1,PTP4A1,RGS16,SHANK2,SLC46A3,Slco1a1,SOCS2,ST3GAL4,WEE1	 
PTGES	 	enzyme	 	0.128	4.85E-03	3.20E-02	Ccl2,CCN2,G6PC,NOS3,NOX4,SERPINE1,TNF	171 (6)
ERBB2	 	kinase	 	-1.000	4.92E-03	3.23E-02	ACSS2,CDH1,CHST10,EHF,ELF3,EPHX2,HSD17B11,HSPA1A/HSPA1B,ITGB3,LSS,MYC,MYCN,NOX4,PMVK	 
POU2F1	 	transcription regulator	 	 	5.00E-03	3.28E-02	ATM,BCL6,COX10,DDIT4,GAS5,GSTM1,ICAM1,IDH1,LY6E,RDM1,SESN2	 
TLR5	 	transmembrane receptor	Activated	2.402	5.04E-03	3.28E-02	Ccl2,CXCL2,CXCL3,ICAM1,IL1A,TNF	162 (11)
MMP11	 	peptidase	 	0.000	5.04E-03	3.28E-02	CLPP,HSPD1,HSPE1,IGFBP1,LDHA,XBP1	 
CLEC4E	 	other	Activated	2.383	5.04E-03	3.28E-02	Ccl2,CCL3L3,CXCL2,CXCL3,IL1B,TNF	158 (12)
STK11	 	kinase	 	0.298	5.11E-03	3.32E-02	ADSL,ALDOA,Ccl2,CDH1,CEBPA,COL3A1,CTPS1,CXCL2,CXCL3,DCTPP1,DOCK4,FGFR2,GALM,IGFBP5,IL1A,IYD,KCNA2,LDHA,NUDT2,PAPSS1,PPA1,PYCR2,TKT,TXNRD1,VEGFA	298 (12)
SIRT6	 	enzyme	 	-0.655	5.28E-03	3.35E-02	ACSL3,ALG12,Ccl2,CIDEC,COL3A1,CYP2C18,G6PC,IL1B,LSS,TNF	354 (15)
26s Proteasome	 	complex	 	0.000	5.33E-03	3.35E-02	Chil3/Chil4,FOXO1,GAS5,HSD3B1,Pmaip1,PRKCA,SOCS3,TXNIP	48 (2)
HMOX1	1.756	enzyme	 	-1.515	5.33E-03	3.35E-02	Ccl2,CXCL10,HMOX1,ICAM1,IL1B,IL1RN,SELE,TNF	338 (17)
CTSC	 	peptidase	 	 	5.34E-03	3.35E-02	CXCL3,IL1B,TNF	154 (9)
ALDH3A2	 	enzyme	 	 	5.34E-03	3.35E-02	GCLC,GSTA5,HMOX1	 
PSMB9	 	peptidase	 	 	5.34E-03	3.35E-02	NFKB2,RELB,TNFAIP3	27 (2)
MC3R	 	G-protein coupled receptor	 	 	5.34E-03	3.35E-02	Ccl2,HMOX1,TNF	174 (11)
HSD11B2	 	enzyme	 	 	5.34E-03	3.35E-02	ATP2A2,SLC12A3,TSC22D3	 
CASP4	1.840	peptidase	 	 	5.34E-03	3.35E-02	IL18,IL1A,IL1B	97 (11)
Orm1 (includes others)	0.991	other	 	 	5.34E-03	3.35E-02	Ccl2,IL1B,TNF	 
